split,sequence_count,dependent_frame_count,successful_frame_count,invalid_frame_count,coverage,residual_sample_count,antipodal_residual_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,bias_az_arc_rad,bias_el_arc_rad,bias_norm_deg,calibration_mean_residual_az_arc_rad,calibration_mean_residual_el_arc_rad,calibration_bias_norm_deg,radial_tangent_rmse_rad,geodesic_rmse_rad,geodesic_rmse_deg,geodesic_p50_deg,geodesic_p95_deg,geodesic_p99_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,covariance_available,covariance_rad2_json,covariance_00_rad2,covariance_01_rad2,covariance_11_rad2,covariance_eigenvalue_min_rad2,covariance_eigenvalue_max_rad2,covariance_condition_number,covariance_correlation,covariance_rank,covariance_symmetric,covariance_positive_semidefinite,centered_nis_sample_count,centered_nis_p50,centered_nis_p95,centered_nis_p99,centered_nis_fraction_gt_chi_square_2_p95,centered_nis_fraction_gt_chi_square_rank_p95,raw_normalized_squared_error_sample_count,raw_normalized_squared_error_p50,raw_normalized_squared_error_p95,raw_normalized_squared_error_p99,chi_square_2_p50,chi_square_2_p95,chi_square_2_p99,chi_square_rank_p50,chi_square_rank_p95,chi_square_rank_p99,nis_centering_mean_az_arc_rad,nis_centering_mean_el_arc_rad,bias_correction_applied_to_centered_nis,nis_centering_mean_source_split,evaluation_mean_used_for_nis_centering,chi_square_comparison_statistic,nis_positive_covariance_rank,chi_square_degrees_of_freedom,centered_nis_support_violation_fraction,covariance_source_split,covariance_fit_used_this_split,evaluation_residual_used_to_fit_covariance,conditioning_metadata,sequence_seeds_json,source_seeds_json,noise_seeds_json,calibration_sequence_seeds_json,evaluation_sequence_seeds_json,seed_scope,calibration_evaluation_seed_overlap,calibration_evaluation_sequence_seed_overlap_count,calibration_evaluation_source_seed_overlap_count,calibration_evaluation_noise_seed_overlap_count,calibration_evaluation_all_role_seed_overlap_count,seed_disjointness_programmatically_verified,source_noise_realizations_disjoint_between_splits,common_signal_and_noise_across_methods_within_sequence,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials,truth_used_by_online_estimator,quality_score_probability_claimed,chi_square_2_is_diagnostic_gaussian_benchmark,gaussian_distribution_claimed,signal_level_crlb_claimed,tracking_implemented
calibration,3,60,60,0,1.0,60,0,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,0.0009503486342476503,-0.0004586480632833994,0.06046050286345184,0.0009503486342476503,-0.0004586480632833994,0.06046050286345184,0.012457614341976989,0.012457614341967647,0.7137687245963904,0.5902652937974184,1.1786840048989458,1.2587700263784642,0.0,0.0,0.0,True,"[[8.544916636138807e-05, 2.8438075394330235e-05], [2.8438075394330235e-05, 7.124097043948733e-05]]",8.544916636138807e-05,2.8438075394330235e-05,7.124097043948733e-05,4.903308552700538e-05,0.00010765705127387003,2.195600177243119,0.36448643744057874,2,True,True,60,1.3709730303382321,4.6361976225411725,6.774017847002084,0.016666666666666666,0.016666666666666666,60,1.345145927490452,5.06645058997822,7.230790112734692,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,0.0009503486342476503,-0.0004586480632833994,True,calibration,False,centered_nis,2,2,0.0,calibration,True,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[1334403719, 779601157, 3088553333]","[398936882, 1388987187, 2607085909]","[2180675928, 2037458750, 2346015349]","[1334403719, 779601157, 3088553333]","[3990728123, 3443452449, 1734648408]",s7a_calibration_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
evaluation,3,60,60,0,1.0,60,0,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,-0.00045146773426377087,0.0005894773765968934,0.04254213336533488,0.0009503486342476503,-0.0004586480632833994,0.06046050286345184,0.011521640304261211,0.01152164030425068,0.6601413625013897,0.5433904243924275,1.0866903011399198,1.3689801078717854,0.0,0.0,0.0,True,"[[8.544916636138807e-05, 2.8438075394330235e-05], [2.8438075394330235e-05, 7.124097043948733e-05]]",8.544916636138807e-05,2.8438075394330235e-05,7.124097043948733e-05,4.903308552700538e-05,0.00010765705127387003,2.195600177243119,0.36448643744057874,2,True,True,60,1.1558388127077692,5.766714339875963,7.349952490611268,0.05,0.05,60,1.2515752183224764,5.195347553597164,6.809707449720204,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,0.0009503486342476503,-0.0004586480632833994,True,calibration,False,centered_nis,2,2,0.0,calibration,False,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[3990728123, 3443452449, 1734648408]","[2929276582, 774638138, 2764782181]","[1571266849, 4176077545, 776734057]","[1334403719, 779601157, 3088553333]","[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
calibration,3,60,60,0,1.0,60,0,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,-0.0014291629655721505,-0.0005570454802751415,0.08788519757031085,-0.0014291629655721505,-0.0005570454802751415,0.08788519757031085,0.007902031553505547,0.007902031553493033,0.4527530575943562,0.35108910101109636,0.7900466605656381,1.026386083161258,0.0,0.0,0.0,True,"[[4.443595425515525e-05, 1.0032033662597656e-05], [1.0032033662597656e-05, 1.667180461603727e-05]]",4.443595425515525e-05,1.0032033662597656e-05,1.667180461603727e-05,1.3426308075262471e-05,4.768145079593005e-05,3.5513449064811455,0.3685788573100628,2,True,True,60,1.2001239616812347,5.1164737327516185,6.996226655164314,0.03333333333333333,0.03333333333333333,60,1.3458256074653865,5.864375744238791,6.948406605735712,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.0014291629655721505,-0.0005570454802751415,True,calibration,False,centered_nis,2,2,0.0,calibration,True,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[1334403719, 779601157, 3088553333]","[398936882, 1388987187, 2607085909]","[2180675928, 2037458750, 2346015349]","[1334403719, 779601157, 3088553333]","[3990728123, 3443452449, 1734648408]",s7a_calibration_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
evaluation,3,60,60,0,1.0,60,0,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,-0.0009643214820171052,0.00013989423470323411,0.0558299177198956,-0.0014291629655721505,-0.0005570454802751415,0.08788519757031085,0.008537088229875003,0.008537088229861054,0.4891391249018492,0.4129919096381516,0.8102139937318885,0.9234271844678992,0.0,0.0,0.0,True,"[[4.443595425515525e-05, 1.0032033662597656e-05], [1.0032033662597656e-05, 1.667180461603727e-05]]",4.443595425515525e-05,1.0032033662597656e-05,1.667180461603727e-05,1.3426308075262471e-05,4.768145079593005e-05,3.5513449064811455,0.3685788573100628,2,True,True,60,2.924783748141766,11.242292656913355,14.809270204466827,0.21666666666666667,0.21666666666666667,60,2.6373578321607947,11.3817102329722,15.107387694571354,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.0014291629655721505,-0.0005570454802751415,True,calibration,False,centered_nis,2,2,0.0,calibration,False,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[3990728123, 3443452449, 1734648408]","[2929276582, 774638138, 2764782181]","[1571266849, 4176077545, 776734057]","[1334403719, 779601157, 3088553333]","[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
calibration,3,60,60,0,1.0,60,0,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,-0.0013968611588080528,-0.0006077743665225246,0.08728181824740473,-0.0013968611588080528,-0.0006077743665225246,0.08728181824740473,0.007906258112825285,0.00790625811281242,0.45299522160521877,0.37163553194949084,0.7660411842015772,1.0277375355104321,0.0,0.0,0.0,True,"[[4.3775678261738956e-05, 9.472509955390729e-06], [9.472509955390729e-06, 1.743276909659378e-05]]",4.3775678261738956e-05,9.472509955390729e-06,1.743276909659378e-05,1.4380301197973698e-05,4.6828146160359036e-05,3.256409272356375,0.34289838494423447,2,True,True,60,1.2044663638712318,5.0592070099688256,6.852068807904617,0.016666666666666666,0.016666666666666666,60,1.2752401653780323,5.620300380796444,7.044848700435577,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.0013968611588080528,-0.0006077743665225246,True,calibration,False,centered_nis,2,2,0.0,calibration,True,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[1334403719, 779601157, 3088553333]","[398936882, 1388987187, 2607085909]","[2180675928, 2037458750, 2346015349]","[1334403719, 779601157, 3088553333]","[3990728123, 3443452449, 1734648408]",s7a_calibration_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
evaluation,3,60,60,0,1.0,60,0,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,-0.001133214722118875,5.098333601458857e-05,0.06499409846796549,-0.0013968611588080528,-0.0006077743665225246,0.08728181824740473,0.008511651492655658,0.008511651492645232,0.48768170721479925,0.4159352991590712,0.7659286991296401,0.9744876890993484,0.0,0.0,0.0,True,"[[4.3775678261738956e-05, 9.472509955390729e-06], [9.472509955390729e-06, 1.743276909659378e-05]]",4.3775678261738956e-05,9.472509955390729e-06,1.743276909659378e-05,1.4380301197973698e-05,4.6828146160359036e-05,3.256409272356375,0.34289838494423447,2,True,True,60,2.7481091328566594,10.58338092037316,14.02792518799043,0.2,0.2,60,2.53371740731753,10.359485227130207,14.502279964310436,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.0013968611588080528,-0.0006077743665225246,True,calibration,False,centered_nis,2,2,0.0,calibration,False,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[3990728123, 3443452449, 1734648408]","[2929276582, 774638138, 2764782181]","[1571266849, 4176077545, 776734057]","[1334403719, 779601157, 3088553333]","[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
calibration,3,60,60,0,1.0,60,0,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,-0.0014150751450818586,0.0023536829624538408,0.1573524159640154,-0.0014150751450818586,0.0023536829624538408,0.1573524159640154,0.012175623877828765,0.012175623877823772,0.6976118611380112,0.65081079972865,1.2074886291007059,1.4027860394941583,0.0,0.0,0.0,True,"[[6.76124906538611e-05, 8.271634546873263e-06], [8.271634546873263e-06, 7.547587103466095e-05]]",6.76124906538611e-05,8.271634546873263e-06,7.547587103466095e-05,6.238568064879702e-05,8.070268103972504e-05,1.2936090493913883,0.1157907333018804,2,True,True,60,1.4824424943322534,6.062096987909347,8.43021770989525,0.05,0.05,60,1.816482452917326,6.857674860381709,8.345964500552135,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.0014150751450818586,0.0023536829624538408,True,calibration,False,centered_nis,2,2,0.0,calibration,True,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[3817850923, 58208074, 2150283135]","[2716661094, 2117756115, 2252561722]","[2032847823, 3220789409, 2418873043]","[3817850923, 58208074, 2150283135]","[1668507054, 3043376246, 1247929382]",s7a_calibration_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
evaluation,3,60,60,0,1.0,60,0,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,0.0012720389561311958,0.001717005552611023,0.12243333443185501,-0.0014150751450818586,0.0023536829624538408,0.1573524159640154,0.012492336614365959,0.012492336614361471,0.7157581642596602,0.6927219698240009,1.0657894109419106,1.226679061557172,0.0,0.0,0.0,True,"[[6.76124906538611e-05, 8.271634546873263e-06], [8.271634546873263e-06, 7.547587103466095e-05]]",6.76124906538611e-05,8.271634546873263e-06,7.547587103466095e-05,6.238568064879702e-05,8.070268103972504e-05,1.2936090493913883,0.1157907333018804,2,True,True,60,2.148228747228933,5.669562190113655,6.638993300923738,0.05,0.05,60,2.107580082954061,5.158333527469538,6.675448199510377,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.0014150751450818586,0.0023536829624538408,True,calibration,False,centered_nis,2,2,0.0,calibration,False,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[1668507054, 3043376246, 1247929382]","[299961421, 63157858, 1329752027]","[2394273664, 102201049, 1901480213]","[3817850923, 58208074, 2150283135]","[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
calibration,3,60,60,0,1.0,60,0,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,-0.000165047976198969,0.0008199321195051456,0.04792097592918665,-0.000165047976198969,0.0008199321195051456,0.04792097592918665,0.007461752157433256,0.007461752157425303,0.42752690639310653,0.3725517167758127,0.6682605565083105,0.8754720657903399,0.0,0.0,0.0,True,"[[1.843272301892237e-05, -1.5898047585626136e-06], [-1.5898047585626136e-06, 3.7477326890145005e-05]]",1.843272301892237e-05,-1.5898047585626136e-06,3.7477326890145005e-05,1.8300921509713172e-05,3.7609128399354204e-05,2.0550401453496887,-0.06048737541117948,2,True,True,60,1.4997616662420807,4.532222356710584,6.893283113602494,0.016666666666666666,0.016666666666666666,60,1.5110430898381646,4.956081050209878,7.286406870474734,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.000165047976198969,0.0008199321195051456,True,calibration,False,centered_nis,2,2,0.0,calibration,True,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[3817850923, 58208074, 2150283135]","[2716661094, 2117756115, 2252561722]","[2032847823, 3220789409, 2418873043]","[3817850923, 58208074, 2150283135]","[1668507054, 3043376246, 1247929382]",s7a_calibration_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
evaluation,3,60,60,0,1.0,60,0,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,0.0005072907107553752,0.0010832924421330993,0.06853653944867653,-0.000165047976198969,0.0008199321195051456,0.04792097592918665,0.00898667413862484,0.00898667413861854,0.5148985000022069,0.42921872687786045,0.7882613768802946,1.076570304425239,0.0,0.0,0.0,True,"[[1.843272301892237e-05, -1.5898047585626136e-06], [-1.5898047585626136e-06, 3.7477326890145005e-05]]",1.843272301892237e-05,-1.5898047585626136e-06,3.7477326890145005e-05,1.8300921509713172e-05,3.7609128399354204e-05,2.0550401453496887,-0.06048737541117948,2,True,True,60,2.49896748237786,8.978387787105842,18.906028474648636,0.15,0.15,60,2.4792398733672973,9.115315020549982,19.154518553592354,1.386294361119891,5.991464547107979,9.21034037197618,1.386294361119891,5.991464547107979,9.21034037197618,-0.000165047976198969,0.0008199321195051456,True,calibration,False,centered_nis,2,2,0.0,calibration,False,False,sample_covariance_no_regularization_pseudoinverse_for_nis,"[1668507054, 3043376246, 1247929382]","[299961421, 63157858, 1329752027]","[2394273664, 102201049, 1901480213]","[3817850923, 58208074, 2150283135]","[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False
