split,sequence_count,dependent_frame_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,quality_metric,quality_sample_count,quality_mean,quality_p50,spearman_correlation_with_absolute_angular_error,pearson_correlation_with_absolute_angular_error,sequence_seeds_json,seed_scope,quality_score_probability_claimed,quality_metric_uses_truth_online,offline_error_correlation_uses_truth,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_ratio,60,1.919885609639172,1.9254890055326923,-0.14970825229230345,-0.15232503998765162,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_minimum_peak_ratio,60,1.7449169249584282,1.730703128806423,-0.08263406501806059,-0.11772256138084652,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_curvature,60,0.009040069414304831,0.00911792435956717,-0.05495971103084191,-0.13639798882394966,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_total_spectral_energy,60,6736773.240453525,6755557.893055387,-0.2715754376215616,-0.3208821255256234,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_boundary_count,60,0.0,0.0,,,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_valid_pair_count,60,3.0,3.0,,,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_ratio,60,1.9230971982993694,1.897083046450939,-0.3328146707418728,-0.39733492017842553,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_minimum_peak_ratio,60,1.7387810947091065,1.7070036323997426,-0.1852736871353154,-0.21163194930754692,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_curvature,60,0.008751761693977953,0.00872424728524689,-0.28719088635732154,-0.300542646953138,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_total_spectral_energy,60,6695903.882756586,6734233.669773238,-0.11436510141706033,-0.1096344349367153,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_boundary_count,60,0.0,0.0,,,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_valid_pair_count,60,3.0,3.0,,,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_ratio,60,1.9255355155805256,1.8999024878010669,-0.14609613781606004,-0.1389709408241781,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_minimum_peak_ratio,60,1.6445089360600973,1.660374755102795,-0.06635176437899419,-0.09190057015204779,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_curvature,60,0.009143542054565272,0.009186255797444483,-0.17838288413448183,-0.14632187905615146,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_total_spectral_energy,60,13470644.509118976,13532377.948084734,0.027729924979160884,0.0009467117170220907,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_boundary_count,60,0.0,0.0,,,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_valid_pair_count,60,6.0,6.0,,,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_ratio,60,1.9407639582809635,1.9357210190884846,-0.17238121700472359,-0.2571249851992676,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_minimum_peak_ratio,60,1.6647119571476565,1.6490137958276712,-0.06435120866907476,-0.13766269433089998,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_curvature,60,0.00896941376606213,0.00895154431963598,-0.20116699083078635,-0.22227839638758376,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_total_spectral_energy,60,13423189.120420566,13415043.28931892,-0.01467074187274243,-0.011597307529208248,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_boundary_count,60,0.0,0.0,,,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
