record_type,geometry,distance_m,max_plane_error_s,max_plane_error_us,max_second_order_error_s,max_second_order_error_us,sample_error,worst_azimuth_deg,worst_elevation_deg,worst_pair,second_order_worst_azimuth_deg,second_order_worst_elevation_deg,second_order_worst_pair,sampling_rate_hz,angular_step_deg,max_elevation_deg,phase_error_2000hz_rad,phase_error_4000hz_rad,phase_error_8000hz_rad,phase_error_12000hz_rad,criterion,maximum_frequency_hz,limit_value,limit_unit,target_error_s,target_error_us,minimum_distance_m,coarse_boundary_distance_m,achieved_error_s,achieved_error_us,coarse_max_error,refined_max_error,relative_grid_difference,refined_worst_azimuth_deg,refined_worst_elevation_deg,refined_worst_pair,continuous_refinement_used,continuous_max_error,continuous_worst_azimuth_deg,continuous_worst_elevation_deg,continuous_worst_pair,coarse_search_iterations,refined_search_iterations,refined_angular_step_deg
distance_sweep,linear,0.5,2.5979172302977018e-05,25.979172302977016,4.459131847235447e-06,4.459131847235446,1.2470002705428969,82.5,27.0,1-3,45.0,34.0,0-3,48000.0,0.5,80.0,0.32646390741350406,0.6529278148270081,1.3058556296540162,1.9587834444810246,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,1.0,1.2965638933057038e-05,12.965638933057038,1.1202944155100543e-06,1.1202944155100543,0.6223506687867378,253.0,78.5,0-2,53.5,13.0,0-3,48000.0,0.5,80.0,0.16293102408475918,0.32586204816951836,0.6517240963390367,0.9775861445085551,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,2.0,6.479793556831876e-06,6.4797935568318765,2.8042270334635577e-07,0.2804227033463558,0.3110300907279301,267.5,48.0,0-2,41.5,39.5,0-3,48000.0,0.5,80.0,0.08142748733968598,0.16285497467937196,0.3257099493587439,0.48856492403811597,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,5.0,2.5915775756212245e-06,2.5915775756212245,4.4883324964647975e-08,0.044883324964647975,0.12439572362981878,267.5,74.5,0-2,54.5,6.0,0-3,48000.0,0.5,80.0,0.03256672429111874,0.06513344858223748,0.13026689716447495,0.19540034574671244,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,10.0,1.295764495992845e-06,1.295764495992845,1.122139230841368e-08,0.01122139230841368,0.06219669580765656,270.5,48.0,1-3,52.5,18.5,0-3,48000.0,0.5,80.0,0.01628305688557441,0.03256611377114882,0.06513222754229764,0.09769834131344647,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,20.0,6.478792111893208e-07,0.6478792111893208,2.8053831688246156e-09,0.0028053831688246156,0.0310982021370874,270.5,70.5,1-3,46.5,33.0,0-3,48000.0,0.5,80.0,0.00814149028114368,0.01628298056228736,0.03256596112457472,0.04884894168686209,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,50.0,2.5915131285439926e-07,0.25915131285439924,4.4886289130019463e-10,0.00044886289130019463,0.012439263017011164,270.5,80.0,1-3,46.5,33.0,0-3,48000.0,0.5,80.0,0.003256591442526123,0.006513182885052246,0.013026365770104492,0.019539548655156738,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,100.0,1.2957560380229474e-07,0.12957560380229474,1.1221584772513893e-10,0.00011221584772513893,0.0062196289825101475,270.0,0.0,0-2,53.5,14.0,0-3,48000.0,0.5,80.0,0.0016282950599590031,0.0032565901199180063,0.0065131802398360125,0.00976977035975402,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,200.0,6.478781544590397e-08,0.06478781544590397,2.8054114586950618e-11,2.8054114586950618e-05,0.0031098151414033904,270.0,0.0,0-2,44.5,36.0,0-3,48000.0,0.5,80.0,0.0008141477001879329,0.0016282954003758658,0.0032565908007517316,0.004884886201127597,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,linear,500.0,2.591512782153451e-08,0.02591512782153451,4.489075777769358e-12,4.489075777769358e-06,0.0012439261354336565,270.0,0.0,0-2,54.0,10.5,0-3,48000.0,0.5,80.0,0.0003256591007238931,0.0006513182014477862,0.0013026364028955724,0.0019539546043433587,,,,,,,,,,,,,,,,,,,,,,,,
