record_type,method,delay_samples,frequency_hz,normalized_frequency_cycles_per_sample,amplitude_error,phase_error_rad,max_waveform_error_valid,sampling_rate_hz,fir_length,fir_fixed_latency_samples,validation_guard_samples,group_delay_error_samples,cross_method_max_error_valid,valid_start,valid_stop
tone,frequency_domain,0.1,1500.0,0.03125,5.25091081726714e-12,1.9752983970825947e-12,0.00010231763325208032,48000.0,,,512,,,,
tone,frequency_domain,0.1,2000.0,0.041666666666666664,4.4532000309516206e-10,1.1621971581319645e-08,9.352956462571616e-05,48000.0,,,512,,,,
tone,frequency_domain,0.1,4000.0,0.08333333333333333,1.0291598684375458e-09,1.1692183445501406e-08,9.133049715526198e-05,48000.0,,,512,,,,
tone,frequency_domain,0.1,8000.0,0.16666666666666666,7.9213424708513e-10,1.5980326269373424e-08,9.594686991931667e-05,48000.0,,,512,,,,
tone,frequency_domain,0.1,12000.0,0.25,1.2484013822700035e-11,4.550965160333902e-11,0.00010237424347930846,48000.0,,,512,,,,
tone,frequency_domain,0.1,16000.0,0.3333333333333333,6.758496429171146e-09,4.4534878067429714e-08,0.0001855418566053535,48000.0,,,512,,,,
tone,frequency_domain,0.1,19000.0,0.3958333333333333,2.036403845551149e-08,1.1006795953128056e-07,0.0002865637373911101,48000.0,,,512,,,,
tone,frequency_domain,0.25,1500.0,0.03125,2.992373016041938e-11,1.5267995201919146e-12,0.00023419190156304115,48000.0,,,512,,,,
tone,frequency_domain,0.25,2000.0,0.041666666666666664,1.9468093803709507e-11,2.662271742000715e-08,0.0002140830417858841,48000.0,,,512,,,,
tone,frequency_domain,0.25,4000.0,0.08333333333333333,4.4605814597531435e-09,2.6490408998123907e-08,0.00020905112861258068,48000.0,,,512,,,,
tone,frequency_domain,0.25,8000.0,0.16666666666666666,7.513238697853808e-09,3.584322487988647e-08,0.0002196142785107491,48000.0,,,512,,,,
tone,frequency_domain,0.25,12000.0,0.25,6.17687012649526e-11,7.121980783338078e-11,0.00023419334783880696,48000.0,,,512,,,,
tone,frequency_domain,0.25,16000.0,0.3333333333333333,4.6214633231400626e-08,9.209512482223107e-08,0.0004244365946171058,48000.0,,,512,,,,
tone,frequency_domain,0.25,19000.0,0.3958333333333333,1.3518306229975963e-07,2.174526860493472e-07,0.000655531735775039,48000.0,,,512,,,,
tone,frequency_domain,0.5,1500.0,0.03125,8.392475603358207e-11,8.184938838494384e-12,0.00033134839332937815,48000.0,,,512,,,,
tone,frequency_domain,0.5,2000.0,0.041666666666666664,2.476325700051518e-09,3.7590642441959234e-08,0.0003029111132604734,48000.0,,,512,,,,
tone,frequency_domain,0.5,4000.0,0.08333333333333333,1.1177190062383602e-08,3.632216276008958e-08,0.0002957951329510822,48000.0,,,512,,,,
tone,frequency_domain,0.5,8000.0,0.16666666666666666,2.33949487560281e-08,4.623404645160706e-08,0.00031073310647191385,48000.0,,,512,,,,
tone,frequency_domain,0.5,12000.0,0.25,1.1924827791887083e-10,0.0,0.0003310485264745866,48000.0,,,512,,,,
tone,frequency_domain,0.5,16000.0,0.3333333333333333,1.2170098973030008e-07,8.000429527760114e-08,0.0005999407710199911,48000.0,,,512,,,,
tone,frequency_domain,0.5,19000.0,0.3958333333333333,3.343729690907793e-07,1.3842678343492032e-07,0.0009265991242497496,48000.0,,,512,,,,
tone,frequency_domain,0.75,1500.0,0.03125,8.804712514631774e-11,1.5971446389058816e-11,0.0002344055949914381,48000.0,,,512,,,,
tone,frequency_domain,0.75,2000.0,0.041666666666666664,3.477202858981343e-09,2.6425926316926007e-08,0.00021429806754691416,48000.0,,,512,,,,
