study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,failure_invalid_fraction,gcc_any_pair_invalid_fraction,gcc_any_pair_boundary_fraction,mean_rejected_pair_fraction,mean_unavailable_pair_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,catastrophic_definition,mean_cycle_residual_before_us,mean_cycle_residual_after_us,cycle_residual_definition,cycle_residual_aggregation,risk_coverage_study,confidence_threshold_percentile,hard_confidence_rejection_used,soft_confidence_weighting_used,calibration_covariance_used,confidence_weights_used,metric_conditioning,exact_crlb_claimed,gcc_measurement_rmse_us,direction_specific_plane_model_bias_rms_us,direction_specific_plane_model_bias_max_us,global_E_tau_us,far_field_grid_step_deg,noiseless_plane_doa_bias_deg,noiseless_exact_doa_bias_deg,known_range_used
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,reference_3,1000,2000,3916886306,reference_3_equal,plane,20.0,2000,0,1.0,-1.426849873983508,1.5276383179466542,4.12088981189921,29.382163837188962,4.049229188902884,68.94967558507442,85.22856741016744,120.86138723625669,85.22856741016744,120.86138723625669,0.441,0.352,0.227,1.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.227,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_equal,plane,20.0,2000,0,1.0,0.008733385541839084,6.791140229379202,7.424660793735416,21.604932807930556,6.956668763463764,51.84107980415914,66.18888465354965,83.88646342482717,66.18888465354965,83.88646342482717,0.5685,0.4245,0.145,1.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.145,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_equal,plane,20.0,2000,0,1.0,0.00873335258631667,6.791140214146517,7.424660779304553,21.60493280920655,6.95666875883044,51.84107979735746,66.1888847270003,83.88646342506402,66.1888847270003,83.88646342506402,0.5685,0.4245,0.145,1.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.145,conditional_geodesic_error_gt_30deg,175.83731452148493,1.0983191493970961e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_calibrated_no_rejection,plane,20.0,2000,0,1.0,-0.24641661426171854,-8.783389329956645,8.698589126126276,23.56119688618268,20.226223241741916,37.58353189950256,47.548251868106654,58.88360514393204,47.548251868106654,58.88360514393204,0.9505,0.8595,0.301,1.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.301,conditional_geodesic_error_gt_30deg,179.6566336804513,1.2625891281022006e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,False,True,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_calibrated_hard_p05,plane,20.0,1992,8,0.996,-0.4878717709593055,-12.572640407843334,12.621613162834162,22.87398967149672,19.354697376650638,34.600107350833014,46.25293213855601,78.43485004375478,46.25293213855601,78.43485004375478,0.9598393574297188,0.8855421686746988,0.2660642570281124,0.996,0.004,0.004,0.0,0.029,0.10116666666666665,0.0,0.004,0.2660642570281124,conditional_geodesic_error_gt_30deg,118.41504856216186,1.0148488474954137e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,5.0,True,False,True,True,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_calibrated,plane,20.0,1955,45,0.9775,-0.1931328681038753,-14.1992800624224,14.273835875220227,23.063462822056813,19.586884994124066,34.416540997577755,44.53682756127449,78.61260412261939,44.53682756127449,78.61260412261939,0.9652173913043478,0.8987212276214833,0.2777493606138107,0.9775,0.0225,0.0225,0.0,0.029,0.16516666666666666,0.0,0.0225,0.2777493606138107,conditional_geodesic_error_gt_30deg,91.44839123114257,8.430090148091112e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,10.0,True,False,True,True,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_calibrated_hard_p25,plane,20.0,1693,307,0.8465,-0.29495428527147854,-16.809389927210102,16.890029482757868,23.14083419784118,19.64642815806619,31.14726706681498,48.31398033994451,85.99776450635846,48.31398033994451,85.99776450635846,0.9769639692852924,0.9173065564087419,0.28115770821027763,0.8465,0.1535,0.1535,0.0,0.029,0.33841666666666664,0.0,0.1535,0.28115770821027763,conditional_geodesic_error_gt_30deg,44.66767007541745,5.1453740719271723e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,25.0,True,False,True,True,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_calibrated_hard_p50,plane,20.0,887,1113,0.4435,-0.015834824775003187,-18.17098197224795,18.299480088351427,23.793977387072708,20.39173072960099,30.536165392958093,55.3413435708437,84.05704873099972,55.3413435708437,84.05704873099972,0.9887260428410372,0.9301014656144306,0.3156708004509583,0.4435,0.5565,0.5565,0.0,0.029,0.5745,0.0,0.5565,0.3156708004509583,conditional_geodesic_error_gt_30deg,19.730141814303526,2.5644950413883687e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,50.0,True,False,True,True,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,3916886306,all_6_cycle_calibrated_soft,plane,20.0,2000,0,1.0,-0.25730542931210837,-9.514911122925499,9.476966733727137,22.557525558119817,19.300550688694177,35.64241641347042,44.47105217989068,58.65836503814084,44.47105217989068,58.65836503814084,0.9485,0.849,0.269,1.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.269,conditional_geodesic_error_gt_30deg,179.6566336804513,1.2574873676538145e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,True,True,True,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,reference_3,1000,2000,686625521,reference_3_equal,plane,20.0,2000,0,1.0,-0.846277975627368,0.4519019517001216,0.8745225645964165,13.510806320885631,2.142933705540445,30.45805376322501,67.4139854453243,84.55344956105455,67.4139854453243,84.55344956105455,0.13,0.087,0.052,1.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.052,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,all_6,1000,2000,686625521,all_6_equal,plane,20.0,2000,0,1.0,-0.029769310337221657,1.4992856459733994,1.562444285230444,10.377305434000816,1.674040338208854,25.02527476941344,50.49251427365624,65.07997495281921,50.49251427365624,65.07997495281921,0.167,0.1185,0.0315,1.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0315,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,all_6,1000,2000,686625521,all_6_cycle_equal,plane,20.0,2000,0,1.0,-0.029769294211430822,1.4992856410286124,1.5624442806387386,10.377305437511374,1.6740403383830464,25.02527485618886,50.49251427331904,65.07997498430542,50.49251427331904,65.07997498430542,0.167,0.1185,0.0315,1.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0315,conditional_geodesic_error_gt_30deg,58.15882233836351,1.1584043773963917e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,all_6,1000,2000,686625521,all_6_cycle_calibrated_no_rejection,plane,20.0,2000,0,1.0,0.022784368618942574,-1.5648057987104522,1.465187123875634,9.877973973468372,3.583815003665439,25.828789626091442,37.258139022816394,51.044463690778755,37.258139022816394,51.044463690778755,0.313,0.1235,0.038,1.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.038,conditional_geodesic_error_gt_30deg,58.49414069817918,1.2108044626981906e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,False,True,False,successful_trials_only,False,,,,,,,,
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,all_6,1000,2000,686625521,all_6_cycle_calibrated_hard_p05,plane,20.0,1997,3,0.9985,-0.12200614136723563,-2.5722708698140586,2.518582965787404,6.953476429253221,3.2962719365249917,9.8523852205673,30.648345625103836,54.69741774683491,30.648345625103836,54.69741774683491,0.24536805207811718,0.049073610415623435,0.012018027040560842,0.9985,0.0015,0.0015,0.0,0.0075,0.07733333333333332,0.0,0.0015,0.012018027040560842,conditional_geodesic_error_gt_30deg,30.152795570028772,1.0093681151131168e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,5.0,True,False,True,True,successful_trials_only,False,,,,,,,,
