study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,true_tdoa_s,true_tdoa_us,bias_s,bias_us,standard_deviation_us,rmse_us,median_absolute_error_us,p95_absolute_error_us,catastrophic_outlier_fraction_gt_1_sample,mean_peak_value,mean_peak_to_second_peak_ratio,median_peak_to_second_peak_ratio,mean_peak_curvature,mean_used_spectral_energy,mean_spectral_energy_fraction,boundary_hit_fraction,invalid_fraction
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,0-1,1000,2000,3545294353,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-2.9112558061273084e-05,-29.112558061273084,125.30353288180417,128.57999616650994,10.111397479680381,282.8961617875736,0.247,0.020168278153730304,1.4287212399229359,1.4027895474509477,0.0011777739453841083,246490.03569955152,0.8077251837600117,0.008,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,0-2,1000,2000,3545294353,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-9.211272545009935e-05,-92.11272545009935,251.85538425566818,268.05308734248354,11.664203703715506,806.0580422045807,0.31,0.019828447346053015,1.3913095054564828,1.3690171026095783,0.001193622928701387,242990.59700013674,0.8075024452899602,0.006,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,0-3,1000,2000,3545294353,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-2.976566459470521e-05,-29.76566459470521,122.24535267045742,125.75761254110813,11.022748948915083,310.3739828293629,0.261,0.020027686819559447,1.4241326623801551,1.3882442029300819,0.001196613226592394,246515.83043495263,0.808195445180542,0.002,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,1-2,1000,2000,3545294353,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-3.431777582498526e-05,-34.31777582498526,130.04183323502525,134.4309385904485,11.513727462677956,337.9606078162118,0.28,0.01996429128143676,1.4217119567483683,1.3882086240898557,0.0011818359498220897,242591.75288588172,0.8071650577706462,0.008,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,1-3,1000,2000,3545294353,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,1.2493352141592522e-06,1.2493352141592522,122.88106837481314,122.82596649914021,11.492292375755625,320.6022695399398,0.267,0.020623458403118997,1.4084600776856195,1.3743725618993694,0.0012327139510302715,246095.29879691213,0.807861879982823,0.003,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,2-3,1000,2000,3545294353,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,2.9254426231991875e-05,29.254426231991875,122.87780752515161,126.25243792010146,11.137196910708914,311.22378318316356,0.276,0.019897426610807987,1.4231671278601399,1.4024156230435376,0.0011713546088000593,242573.61401131094,0.8075371652418569,0.003,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,0-1,1000,2000,3916886306,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-2.7295954098001568e-05,-27.29595409800157,124.12922901131299,127.06467082677119,10.574804403025563,302.53394754118233,0.2685,0.019979058003142793,1.423216159240761,1.4055167248082103,0.0011840282306033935,246758.4096870741,0.8077900330292318,0.007,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,0-2,1000,2000,3916886306,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-8.267031238419195e-05,-82.67031238419196,245.84838260047414,259.3175409866355,11.780727443856371,783.8742042624335,0.294,0.020204857740711298,1.4058226449773101,1.3711713959767187,0.0012009346818571986,242908.85589183954,0.8073559499844947,0.006,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,0-3,1000,2000,3916886306,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-3.5066178427809494e-05,-35.0661784278095,136.27836229159917,140.6845513992097,11.131424085504465,380.8453552629297,0.265,0.02028402244365831,1.4366257727789449,1.413249108008639,0.0012001421973201808,247078.95047428447,0.8079931065290364,0.0045,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,1-2,1000,2000,3916886306,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-2.4923706682530207e-05,-24.923706682530206,117.54372896759455,120.12831102739405,11.174755024764076,289.4061898036076,0.284,0.02002705681431921,1.4205797080568145,1.3928031781579242,0.001176801727382166,242787.87049765236,0.80735188701883,0.004,0.0
