split,paired_recording_id,paired_session_id,snr_db,source_model_comparison,sequence_seed,source_seed,noise_seeds_json,same_standardized_noise_with_pair,audio_synthesis_wall_runtime_s,bearing_frontend_wall_runtime_s,audio_pipeline_wall_runtime_s,duration_s,frame_length_samples,hop_length_samples
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,-6.0,recorded_source_approximation,6555131340107746781,17077095777723825450,"[13566427774394046689, 8435928236040968186, 4210403484674891623]",True,21.302298099995824,4.383940400002757,25.68725919999997,2.0,1024,512
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,-6.0,random_broadband,6555131340107746781,17077095777723825450,"[13566427774394046689, 8435928236040968186, 4210403484674891623]",True,22.019979200005764,4.573239600009401,26.594315399997868,2.0,1024,512
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,10.0,recorded_source_approximation,11045319167482910921,4841012727369954092,"[11099964629804307082, 13338895266061041948, 5815072394629902009]",True,22.383135800002492,4.556830300003639,26.941161199996714,2.0,1024,512
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,10.0,random_broadband,11045319167482910921,4841012727369954092,"[11099964629804307082, 13338895266061041948, 5815072394629902009]",True,22.36445690000255,4.564253499993356,26.929751500007114,2.0,1024,512
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,-6.0,recorded_source_approximation,10916223062156552982,14774737846547331662,"[8428799827167982166, 12151413074658337216, 12504360680182836532]",True,21.78806250001071,4.561003900002106,26.35015509999357,2.0,1024,512
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,-6.0,random_broadband,10916223062156552982,14774737846547331662,"[8428799827167982166, 12151413074658337216, 12504360680182836532]",True,22.251733900004183,4.545036700001219,26.798292599996785,2.0,1024,512
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,10.0,recorded_source_approximation,5191144776647754871,13576817827752466765,"[4570868117763124054, 5644425965309070727, 14375934859118066673]",True,21.67756680000457,4.550760999991326,26.229469099998823,2.0,1024,512
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,10.0,random_broadband,5191144776647754871,13576817827752466765,"[4570868117763124054, 5644425965309070727, 14375934859118066673]",True,21.845497999995132,4.512459899997339,26.35903419999522,2.0,1024,512
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,-6.0,recorded_source_approximation,7051807767926021858,6286829343036515259,"[2724290195596798156, 5383323246083519836, 9583430613951142220]",True,22.65717289999884,4.692126900001313,27.350936600007117,2.0,1024,512
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,-6.0,random_broadband,7051807767926021858,6286829343036515259,"[2724290195596798156, 5383323246083519836, 9583430613951142220]",True,22.137477199998102,4.77462340000784,26.913163799996255,2.0,1024,512
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,10.0,recorded_source_approximation,14189773874213735854,10937270169711799083,"[329633322743765558, 9356444614530716105, 12237447410803886884]",True,22.02435590000823,4.623045899992576,26.648559300010675,2.0,1024,512
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,10.0,random_broadband,14189773874213735854,10937270169711799083,"[329633322743765558, 9356444614530716105, 12237447410803886884]",True,21.834373399993638,4.524590700006229,26.36021499999333,2.0,1024,512
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,-6.0,recorded_source_approximation,18090356658712458261,17340541220944555438,"[13030909411621558029, 13100543118138504742, 15273557278471321997]",True,22.00779909999983,4.596984999996494,26.605941999994684,2.0,1024,512
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,-6.0,random_broadband,18090356658712458261,17340541220944555438,"[13030909411621558029, 13100543118138504742, 15273557278471321997]",True,21.93541250000999,4.478978600003757,26.415399300007266,2.0,1024,512
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,10.0,recorded_source_approximation,1831001451585685072,5622486086421503578,"[6082831031110447036, 15657013989643068298, 1521474001948190872]",True,22.42370810000284,4.7050360000139335,27.129755300004035,2.0,1024,512
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,10.0,random_broadband,1831001451585685072,5622486086421503578,"[6082831031110447036, 15657013989643068298, 1521474001948190872]",True,23.280642599987914,4.652476899995236,27.934207199999946,2.0,1024,512
