case_id,geometry,profile,sequence_index,base_seed,variant,processing_time_s,status,valid,generation,truth_used_by_estimator,state_vector_json,evaluator_only_position_error_m,record_kind,action,event_id,station_id,accepted,reason,nis,evaluator_only_is_outlier,event_ids_json,preliminary_nis_json,final_nis_json
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,1.9529222699491662,confirmed,True,1,False,"[90.14817970743037, 60.81761006207421, 48.30182784287943, 11.961490155608422, 3.0309243154850414, 5.767685661594961]",12.297530171771333,lifecycle,initialized,,,,eligible_prefix_passed_fixed_initialization_gates,nan,,"[""s7cd1-20260912-0-57-outlier_mild|S0|0|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S0|1|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S1|0|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S1|1|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S2|0|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S2|1|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,1.9529222699491662,confirmed,True,1,False,"[90.14817970743037, 60.81761006207421, 48.30182784287943, 11.961490155608422, 3.0309243154850414, 5.767685661594961]",12.297530171771333,initialization,initialization_accepted,,,True,,nan,,"[""s7cd1-20260912-0-57-outlier_mild|S0|0|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S1|0|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S2|0|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S0|1|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S1|1|direct_bearing"", ""s7cd1-20260912-0-57-outlier_mild|S2|1|direct_bearing""]",[],
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,2.4145494400277787,confirmed,True,1,False,"[96.98633309035081, 60.21899513989745, 50.65207184374445, 12.702494365467459, 1.894193164375132, 5.585999805742767]",15.831161724903689,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S0|2|direct_bearing,S0,True,,8.303189276403872,False,"[""s7cd1-20260912-0-57-outlier_mild|S0|2|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,2.4340258396038537,confirmed,True,1,False,"[86.85418013418955, 57.98734827285929, 46.71303429148975, 6.396971934813424, 0.3897515665219671, 3.1345923040894776]",7.672781842665088,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S1|2|direct_bearing,S1,True,,205.08345521118758,False,"[""s7cd1-20260912-0-57-outlier_mild|S1|2|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,2.8419649707390633,confirmed,True,1,False,"[88.89760076088095, 52.48088151551097, 43.56670490472786, 6.076732402329682, -2.370608817103047, 0.9755367383340001]",2.761040954015442,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S2|2|direct_bearing,S2,True,,64.48017130715412,False,"[""s7cd1-20260912-0-57-outlier_mild|S2|2|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,3.2477354963675125,confirmed,True,1,False,"[91.64964826036227, 51.09491512396016, 45.496586917137535, 6.199778393429961, -2.5575692558190046, 1.6516034462302742]",2.650808964747871,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S1|3|direct_bearing,S1,True,,5.357326940383517,False,"[""s7cd1-20260912-0-57-outlier_mild|S1|3|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,3.257858979236711,confirmed,True,1,False,"[91.88255498665548, 50.471638519304534, 45.09390239688367, 6.270057994884902, -2.812897433470212, 1.4710902505872032]",1.961940024842423,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S0|3|direct_bearing,S0,True,,1.9674106395516036,False,"[""s7cd1-20260912-0-57-outlier_mild|S0|3|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,3.5159808162835233,confirmed,True,1,False,"[93.388655217335, 48.87527889767144, 44.99961547332989, 6.2230323314239975, -3.162040232151747, 1.283113373541604]",1.232270753826208,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S2|3|direct_bearing,S2,True,,5.712279017628146,False,"[""s7cd1-20260912-0-57-outlier_mild|S2|3|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,4.1321142761909915,confirmed,True,1,False,"[97.97139517229843, 46.56467016268164, 46.641355439333196, 6.487744952470374, -3.287124326324294, 1.5788002523179403]",0.8890948026536831,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S1|4|direct_bearing,S1,True,,6.776921903889406,False,"[""s7cd1-20260912-0-57-outlier_mild|S1|4|direct_bearing""]",,
informative:outlier_mild:57,informative,outlier_mild,57,20260912,c1_baseline,4.16173794185862,confirmed,True,1,False,"[98.27930715758691, 45.98369420660891, 46.35218313120878, 6.525599748695514, -3.447963632803393, 1.4667432119595023]",0.31616311643620276,measurement,update_accepted,s7cd1-20260912-0-57-outlier_mild|S0|4|direct_bearing,S0,True,,2.330569497050566,False,"[""s7cd1-20260912-0-57-outlier_mild|S0|4|direct_bearing""]",,
