geometry,geometry_index,sequence_index,base_seed,independent_unit,truth_provenance,truth_seed,nominal_bearing_noise_provenance,nominal_bearing_noise_seed,transport_loss_uniform_provenance,transport_loss_uniform_seed,transport_delay_uniform_provenance,transport_delay_uniform_seed,outlier_mask_uniform_provenance,outlier_mask_uniform_seed,outlier_direction_provenance,outlier_direction_seed
informative,0,0,20260914,whole_base_sequence,s7cd1:20260914:0:0:truth,17258945326917308672,s7cd1:20260914:0:0:nominal_bearing_noise,12517129739657472389,s7cd1:20260914:0:0:transport_loss_uniform,6887232077126249502,s7cd1:20260914:0:0:transport_delay_uniform,9975861913858196756,s7cd1:20260914:0:0:outlier_mask_uniform,6095788368780324817,s7cd1:20260914:0:0:outlier_direction,11416779973145073592
informative,0,1,20260914,whole_base_sequence,s7cd1:20260914:0:1:truth,2939472955759953250,s7cd1:20260914:0:1:nominal_bearing_noise,2265527272551196912,s7cd1:20260914:0:1:transport_loss_uniform,12861395448536314144,s7cd1:20260914:0:1:transport_delay_uniform,13253648357235137988,s7cd1:20260914:0:1:outlier_mask_uniform,2144226862040326408,s7cd1:20260914:0:1:outlier_direction,13090496634945375653
informative,0,2,20260914,whole_base_sequence,s7cd1:20260914:0:2:truth,2002280969824393228,s7cd1:20260914:0:2:nominal_bearing_noise,8047089451414344462,s7cd1:20260914:0:2:transport_loss_uniform,15329992805683979061,s7cd1:20260914:0:2:transport_delay_uniform,11370156934725226639,s7cd1:20260914:0:2:outlier_mask_uniform,9851512540178534238,s7cd1:20260914:0:2:outlier_direction,1977053712961376437
informative,0,3,20260914,whole_base_sequence,s7cd1:20260914:0:3:truth,4047510933733141986,s7cd1:20260914:0:3:nominal_bearing_noise,12174692228629968394,s7cd1:20260914:0:3:transport_loss_uniform,14655927289314145232,s7cd1:20260914:0:3:transport_delay_uniform,6552505206111531249,s7cd1:20260914:0:3:outlier_mask_uniform,4188324207060617680,s7cd1:20260914:0:3:outlier_direction,10123711577656582865
informative,0,4,20260914,whole_base_sequence,s7cd1:20260914:0:4:truth,1182484406619157203,s7cd1:20260914:0:4:nominal_bearing_noise,9022303037836693971,s7cd1:20260914:0:4:transport_loss_uniform,5921807555819810257,s7cd1:20260914:0:4:transport_delay_uniform,6824697119413497928,s7cd1:20260914:0:4:outlier_mask_uniform,7138189077867089742,s7cd1:20260914:0:4:outlier_direction,6378228023786939892
informative,0,5,20260914,whole_base_sequence,s7cd1:20260914:0:5:truth,16190039575010760443,s7cd1:20260914:0:5:nominal_bearing_noise,4775639133948636291,s7cd1:20260914:0:5:transport_loss_uniform,10331096914743786143,s7cd1:20260914:0:5:transport_delay_uniform,16342773777475328497,s7cd1:20260914:0:5:outlier_mask_uniform,2185983178841816587,s7cd1:20260914:0:5:outlier_direction,12656188311495755123
informative,0,6,20260914,whole_base_sequence,s7cd1:20260914:0:6:truth,1072301610389304140,s7cd1:20260914:0:6:nominal_bearing_noise,2377425676573638566,s7cd1:20260914:0:6:transport_loss_uniform,7418480065739464203,s7cd1:20260914:0:6:transport_delay_uniform,2009237038644392536,s7cd1:20260914:0:6:outlier_mask_uniform,17990592498742555173,s7cd1:20260914:0:6:outlier_direction,10421361958318923524
informative,0,7,20260914,whole_base_sequence,s7cd1:20260914:0:7:truth,5483395057359131380,s7cd1:20260914:0:7:nominal_bearing_noise,12705980651493084967,s7cd1:20260914:0:7:transport_loss_uniform,13433985374468134375,s7cd1:20260914:0:7:transport_delay_uniform,3600078350766937711,s7cd1:20260914:0:7:outlier_mask_uniform,15455835172875438352,s7cd1:20260914:0:7:outlier_direction,6700940515295268081
informative,0,8,20260914,whole_base_sequence,s7cd1:20260914:0:8:truth,3147567418876093904,s7cd1:20260914:0:8:nominal_bearing_noise,6832987497253572064,s7cd1:20260914:0:8:transport_loss_uniform,4350611252270186355,s7cd1:20260914:0:8:transport_delay_uniform,5422639824536782386,s7cd1:20260914:0:8:outlier_mask_uniform,17490318953081961777,s7cd1:20260914:0:8:outlier_direction,13841438735512933240
informative,0,9,20260914,whole_base_sequence,s7cd1:20260914:0:9:truth,1683040975007994076,s7cd1:20260914:0:9:nominal_bearing_noise,194022707933493160,s7cd1:20260914:0:9:transport_loss_uniform,17695909282941265536,s7cd1:20260914:0:9:transport_delay_uniform,17767553201466776401,s7cd1:20260914:0:9:outlier_mask_uniform,5555753262938956314,s7cd1:20260914:0:9:outlier_direction,2848165172335399538
informative,0,10,20260914,whole_base_sequence,s7cd1:20260914:0:10:truth,9628843290277649642,s7cd1:20260914:0:10:nominal_bearing_noise,2824867197600102084,s7cd1:20260914:0:10:transport_loss_uniform,1715500017094965565,s7cd1:20260914:0:10:transport_delay_uniform,3163727057607866299,s7cd1:20260914:0:10:outlier_mask_uniform,9082482887400515754,s7cd1:20260914:0:10:outlier_direction,2128652819555769919
