geometry,trajectory_kind,sequence_index,seed,variant,period,processing_time_s,valid,confirmed,status,failure_reason,position_error_m,velocity_error_mps,state_nees,valid_and_covered,reset_count,first_confirmation_time_s,last_recovery_duration_s,history_node_count,history_memory_bytes,total_runtime_s
informative,constant_velocity,0,20260916,confirmed_recovery,pre,0.0,0,0,uninitialized,not_initialized,nan,nan,nan,0,0,nan,nan,0,0,3.070000093430281e-05
informative,constant_velocity,0,20260916,confirmed_recovery,pre,0.5,0,0,uninitialized,not_initialized,nan,nan,nan,0,0,nan,nan,0,0,1.3500000932253897e-05
informative,constant_velocity,0,20260916,confirmed_recovery,pre,1.0,0,0,uninitialized,initialization_failed:no_observable_hypothesis,nan,nan,nan,0,0,nan,nan,0,0,0.00017290000687353313
informative,constant_velocity,0,20260916,confirmed_recovery,pre,1.5,0,0,uninitialized,initialization_failed:no_observable_hypothesis,nan,nan,nan,0,0,nan,nan,0,0,0.00010399999882793054
informative,constant_velocity,0,20260916,confirmed_recovery,pre,2.0,0,0,tentative,tentative_initialization_unconfirmed,nan,nan,nan,0,0,nan,nan,0,0,0.03804630000377074
informative,constant_velocity,0,20260916,confirmed_recovery,pre,2.5,0,0,tentative,tentative_initialization_unconfirmed,nan,nan,nan,0,0,nan,nan,0,0,0.0012936999992234632
informative,constant_velocity,0,20260916,confirmed_recovery,pre,3.0,0,0,tentative,tentative_initialization_unconfirmed,nan,nan,nan,0,0,nan,nan,0,0,0.0010562999959802255
informative,constant_velocity,0,20260916,confirmed_recovery,pre,3.5,1,1,confirmed,,3.0079271019351888,1.178544221551591,17.286184204977427,0,0,3.2571849659392016,nan,0,0,0.048054400002001785
informative,constant_velocity,0,20260916,confirmed_recovery,pre,4.0,1,1,confirmed,,1.0710143487118273,0.36060218261953664,5.880445771185702,1,0,3.2571849659392016,nan,0,0,0.0012962000037077814
informative,constant_velocity,0,20260916,confirmed_recovery,pre,4.5,1,1,confirmed,,0.8367013594211308,0.21702360601508602,5.8125155633805905,1,0,3.2571849659392016,nan,0,0,0.0013135999979567714
informative,constant_velocity,0,20260916,confirmed_recovery,during,5.0,1,1,confirmed,,0.9861651290483266,0.22233524315781591,6.060684245900203,1,0,3.2571849659392016,nan,0,0,0.0006884000031277537
informative,constant_velocity,0,20260916,confirmed_recovery,during,5.5,1,1,confirmed,,0.14100735851618149,0.09074275265625596,3.1278955801223387,1,0,3.2571849659392016,nan,0,0,0.0018940000009024516
informative,constant_velocity,0,20260916,confirmed_recovery,during,6.0,1,1,confirmed,,0.39112525132231096,0.15352234450859906,3.665003983631343,1,0,3.2571849659392016,nan,0,0,0.0012894999963464215
informative,constant_velocity,0,20260916,confirmed_recovery,during,6.5,1,1,confirmed,,0.2196761199181977,0.09291978856257668,3.248785558513745,1,0,3.2571849659392016,nan,0,0,0.0012926000053994358
informative,constant_velocity,0,20260916,confirmed_recovery,during,7.0,1,1,confirmed,,0.41519352643486934,0.1194253826402791,4.0318854155818595,1,0,3.2571849659392016,nan,0,0,0.0006911999953445047
informative,constant_velocity,0,20260916,confirmed_recovery,during,7.5,1,1,confirmed,,0.4834989699893897,0.11462928303283348,4.3800764535518635,1,0,3.2571849659392016,nan,0,0,0.001284599995415192
informative,constant_velocity,0,20260916,confirmed_recovery,during,8.0,1,1,confirmed,,0.28228966499822444,0.07640423709855913,3.73842251664856,1,0,3.2571849659392016,nan,0,0,0.000698499999998603
informative,constant_velocity,0,20260916,confirmed_recovery,during,8.5,1,1,confirmed,,0.16805280921419716,0.03391856901982629,3.4913288752223353,1,0,3.2571849659392016,nan,0,0,0.001883199998701457
informative,constant_velocity,0,20260916,confirmed_recovery,during,9.0,1,1,confirmed,,0.3483590585141394,0.06202711727308164,3.617556624089327,1,0,3.2571849659392016,nan,0,0,0.0012930999946547672
informative,constant_velocity,0,20260916,confirmed_recovery,post,9.5,1,1,confirmed,,0.25807462895178196,0.042926608793920414,3.927730682528318,1,0,3.2571849659392016,nan,0,0,0.0012950999953318387
informative,constant_velocity,0,20260916,confirmed_recovery,post,10.0,1,1,confirmed,,0.14785330714895972,0.03997441820482091,3.29332456720661,1,0,3.2571849659392016,nan,0,0,0.0006967000008444302
informative,constant_velocity,0,20260916,confirmed_recovery,post,10.5,1,1,confirmed,,0.2033094052536545,0.04191214977149916,3.4870400199556504,1,0,3.2571849659392016,nan,0,0,0.0012977000005776063
informative,constant_velocity,0,20260916,confirmed_recovery,post,11.0,1,1,confirmed,,0.12591649903279942,0.025660307491771787,3.616983281721563,1,0,3.2571849659392016,nan,0,0,0.0013000000035390258
informative,constant_velocity,0,20260916,confirmed_recovery,post,11.5,1,1,confirmed,,0.12782647906575817,0.041053702738089635,3.480410222860459,1,0,3.2571849659392016,nan,0,0,0.0012863000010838732
informative,constant_velocity,0,20260916,confirmed_recovery,post,12.0,1,1,confirmed,,0.15121428003051665,0.041810147860337966,3.5630584545805744,1,0,3.2571849659392016,nan,0,0,0.0007063000011839904
informative,constant_velocity,0,20260916,confirmed_recovery,post,12.5,1,1,confirmed,,0.14047960116347857,0.041308884033715625,3.5423421470314707,1,0,3.2571849659392016,nan,0,0,0.0019045000008190982
informative,constant_velocity,0,20260916,confirmed_recovery,post,14.5,1,1,confirmed,,0.2219080882416394,0.041308884033715625,3.5423421470312633,1,0,3.2571849659392016,nan,0,0,9.71000044955872e-05
informative,constant_velocity,0,20260916,manoeuvre_history,pre,0.0,0,0,uninitialized,not_initialized,nan,nan,nan,0,0,nan,nan,0,0,1.8300001102034003e-05
informative,constant_velocity,0,20260916,manoeuvre_history,pre,0.5,0,0,uninitialized,not_initialized,nan,nan,nan,0,0,nan,nan,0,0,1.1800002539530396e-05
informative,constant_velocity,0,20260916,manoeuvre_history,pre,1.0,0,0,uninitialized,initialization_failed:no_observable_hypothesis,nan,nan,nan,0,0,nan,nan,0,0,0.00013670000043930486
informative,constant_velocity,0,20260916,manoeuvre_history,pre,1.5,0,0,uninitialized,initialization_failed:no_observable_hypothesis,nan,nan,nan,0,0,nan,nan,0,0,9.869999485090375e-05
informative,constant_velocity,0,20260916,manoeuvre_history,pre,2.0,0,0,tentative,tentative_initialization_unconfirmed,nan,nan,nan,0,0,nan,nan,0,0,0.037449600000400096
informative,constant_velocity,0,20260916,manoeuvre_history,pre,2.5,0,0,tentative,tentative_initialization_unconfirmed,nan,nan,nan,0,0,nan,nan,0,0,0.00128269999549957
informative,constant_velocity,0,20260916,manoeuvre_history,pre,3.0,0,0,tentative,tentative_initialization_unconfirmed,nan,nan,nan,0,0,nan,nan,0,0,0.001049799997417722
