geometry,trajectory_kind,sequence_index,seed,variant,event_count,initialization_event_count,accepted_update_count,rejected_event_count,clean_rejected_during_count,during_event_count,reset_count,first_confirmation_time_s,last_recovery_duration_s,first_post_onset_accepted_update_processing_time_s,first_post_onset_accepted_update_first_publication_time_s,runtime_s,maximum_history_memory_bytes,maximum_history_nodes,rejection_reasons_json
informative,constant_velocity,0,20260916,confirmed_recovery,45,9,35,1,0,15,0,3.2571849659392016,nan,5.447551467380961,5.5,0.11113649999606423,0,0,"{""confirmed_initialization_consensus_outlier"": 1}"
informative,constant_velocity,0,20260916,manoeuvre_history,45,9,31,5,0,15,0,3.2571849659392016,nan,5.447551467380961,5.5,0.1427317000052426,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2, ""pre_update_nis_gate"": 2}"
informative,constant_velocity,1,20260916,confirmed_recovery,45,10,34,1,1,15,0,3.2624357953051115,nan,5.656645352355153,6.0,0.11496030000125756,0,0,"{""pre_update_nis_gate"": 1}"
informative,constant_velocity,1,20260916,manoeuvre_history,45,10,32,3,1,15,0,3.2624357953051115,nan,5.656645352355153,6.0,0.14508370000112336,153640,23,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
informative,constant_velocity,2,20260916,confirmed_recovery,45,10,35,0,0,15,0,3.2466753436039246,nan,5.779358893092893,6.0,0.13834979999955976,0,0,{}
informative,constant_velocity,2,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.2466753436039246,nan,5.779358893092893,6.0,0.1676115000009304,167232,24,"{""emission_outside_history"": 2}"
informative,constant_velocity,3,20260916,confirmed_recovery,45,9,35,1,0,15,0,3.082697201470494,nan,5.777805503936681,6.0,0.11147199999686563,0,0,"{""confirmed_initialization_consensus_outlier"": 1}"
informative,constant_velocity,3,20260916,manoeuvre_history,45,9,33,3,0,15,0,3.082697201470494,nan,5.777805503936681,6.0,0.14029930000106106,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2}"
informative,constant_velocity,4,20260916,confirmed_recovery,45,9,35,1,0,15,0,3.0137904578764547,nan,5.682527556950429,6.0,0.10830740000528749,0,0,"{""confirmed_initialization_consensus_outlier"": 1}"
informative,constant_velocity,4,20260916,manoeuvre_history,45,9,33,3,0,15,0,3.0137904578764547,nan,5.682527556950429,6.0,0.14114639999752399,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2}"
informative,constant_velocity,5,20260916,confirmed_recovery,45,10,33,2,1,15,0,3.359617830955261,nan,5.683017835602178,6.0,0.1090429999967455,0,0,"{""pre_update_nis_gate"": 2}"
informative,constant_velocity,5,20260916,manoeuvre_history,45,10,31,4,1,15,0,3.359617830955261,nan,5.683017835602178,6.0,0.13830700000107754,167232,24,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 2}"
informative,constant_velocity,6,20260916,confirmed_recovery,45,10,35,0,0,15,0,3.158733047273924,nan,5.41927782798849,5.5,0.11344490000192309,0,0,{}
informative,constant_velocity,6,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.158733047273924,nan,5.41927782798849,5.5,0.1605243000012706,153640,23,"{""emission_outside_history"": 2}"
informative,constant_velocity,7,20260916,confirmed_recovery,45,9,32,4,0,15,0,3.6500054817004144,nan,5.486076362282519,5.5,0.21338230000401381,0,0,"{""confirmed_initialization_consensus_outlier"": 3, ""pre_update_nis_gate"": 1}"
informative,constant_velocity,7,20260916,manoeuvre_history,45,9,32,4,0,15,0,3.6500054817004144,nan,5.486076362282519,5.5,0.2420734999977867,140624,22,"{""confirmed_initialization_consensus_outlier"": 3, ""emission_outside_history"": 1}"
informative,constant_acceleration_segment,0,20260916,confirmed_recovery,45,18,20,7,5,15,1,3.2571849659392016,2.690028062093681,5.447551467380961,5.5,0.25429930000245804,0,0,"{""confirmed_initialization_consensus_outlier"": 2, ""pre_update_nis_gate"": 5}"
informative,constant_acceleration_segment,0,20260916,manoeuvre_history,45,9,31,5,0,15,0,3.2571849659392016,nan,5.447551467380961,5.5,0.16171780000149738,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2, ""pre_update_nis_gate"": 2}"
informative,constant_acceleration_segment,1,20260916,confirmed_recovery,45,10,14,4,4,15,1,3.2624357953051115,nan,5.656645352355153,6.0,1.1054650000005495,0,0,"{""pre_update_nis_gate"": 4}"
informative,constant_acceleration_segment,1,20260916,manoeuvre_history,45,10,32,3,1,15,0,3.2624357953051115,nan,5.656645352355153,6.0,0.17657429999962915,153640,23,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
informative,constant_acceleration_segment,2,20260916,confirmed_recovery,45,19,22,4,4,15,1,3.2466753436039246,2.5747519618622814,5.779358893092893,6.0,0.2647600999989663,0,0,"{""pre_update_nis_gate"": 4}"
informative,constant_acceleration_segment,2,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.2466753436039246,nan,5.779358893092893,6.0,0.2279768000007607,167232,24,"{""emission_outside_history"": 2}"
informative,constant_acceleration_segment,3,20260916,confirmed_recovery,45,18,21,6,5,15,1,3.082697201470494,2.2942421391428596,5.777805503936681,6.0,0.3066943000012543,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 5}"
informative,constant_acceleration_segment,3,20260916,manoeuvre_history,45,9,33,3,0,15,0,3.082697201470494,nan,5.777805503936681,6.0,0.21052820000477368,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2}"
informative,constant_acceleration_segment,4,20260916,confirmed_recovery,45,18,22,5,4,15,1,3.0137904578764547,2.472483630968389,5.682527556950429,6.0,0.3236380999951507,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
informative,constant_acceleration_segment,4,20260916,manoeuvre_history,45,9,33,3,0,15,0,3.0137904578764547,nan,5.682527556950429,6.0,0.21648370000184514,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2}"
informative,constant_acceleration_segment,5,20260916,confirmed_recovery,45,19,19,7,5,15,1,3.359617830955261,2.683961678188954,5.683017835602178,6.0,0.2170585999992909,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 6}"
informative,constant_acceleration_segment,5,20260916,manoeuvre_history,45,10,32,3,0,15,0,3.359617830955261,nan,5.683017835602178,6.0,0.1497428999937256,167232,24,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
informative,constant_acceleration_segment,6,20260916,confirmed_recovery,45,20,19,6,6,15,1,3.158733047273924,2.966998600689795,5.41927782798849,5.5,0.2145671999969636,0,0,"{""pre_update_nis_gate"": 6}"
informative,constant_acceleration_segment,6,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.158733047273924,nan,5.41927782798849,5.5,0.15223500000138301,153640,23,"{""emission_outside_history"": 2}"
informative,constant_acceleration_segment,7,20260916,confirmed_recovery,45,9,14,8,4,15,1,3.6500054817004144,nan,5.486076362282519,5.5,1.1082478999960585,0,0,"{""confirmed_initialization_consensus_outlier"": 3, ""pre_update_nis_gate"": 5}"
informative,constant_acceleration_segment,7,20260916,manoeuvre_history,45,9,32,4,0,15,0,3.6500054817004144,nan,5.486076362282519,5.5,0.24563450000277953,140624,22,"{""confirmed_initialization_consensus_outlier"": 3, ""emission_outside_history"": 1}"
informative,smooth_turn,0,20260916,confirmed_recovery,45,18,21,6,4,15,1,3.2571849659392016,2.690028062093681,5.447551467380961,5.5,0.2769484000018565,0,0,"{""confirmed_initialization_consensus_outlier"": 2, ""pre_update_nis_gate"": 4}"
informative,smooth_turn,0,20260916,manoeuvre_history,45,9,31,5,0,15,0,3.2571849659392016,nan,5.447551467380961,5.5,0.15474749999702908,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2, ""pre_update_nis_gate"": 2}"
informative,smooth_turn,1,20260916,confirmed_recovery,45,19,21,5,4,15,1,3.2624357953051115,2.667023811354671,5.656645352355153,6.0,0.2528960999989067,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
informative,smooth_turn,1,20260916,manoeuvre_history,45,10,32,3,1,15,0,3.2624357953051115,nan,5.656645352355153,6.0,0.1621372000008705,153640,23,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
informative,smooth_turn,2,20260916,confirmed_recovery,45,19,22,4,4,15,1,3.2466753436039246,2.5747519618622814,5.779358893092893,6.0,0.24495439999736845,0,0,"{""pre_update_nis_gate"": 4}"
informative,smooth_turn,2,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.2466753436039246,nan,5.779358893092893,6.0,0.1819175999989966,167232,24,"{""emission_outside_history"": 2}"
informative,smooth_turn,3,20260916,confirmed_recovery,45,18,22,5,4,15,1,3.082697201470494,2.2942421391428596,5.777805503936681,6.0,0.2068377999967197,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
informative,smooth_turn,3,20260916,manoeuvre_history,45,9,33,3,0,15,0,3.082697201470494,nan,5.777805503936681,6.0,0.15289230000053067,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2}"
informative,smooth_turn,4,20260916,confirmed_recovery,45,18,22,5,4,15,1,3.0137904578764547,2.570426119251568,5.682527556950429,6.0,0.1902401999977883,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
informative,smooth_turn,4,20260916,manoeuvre_history,45,9,33,3,0,15,0,3.0137904578764547,nan,5.682527556950429,6.0,0.15613889999804087,167232,24,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2}"
informative,smooth_turn,5,20260916,confirmed_recovery,45,19,19,7,5,15,1,3.359617830955261,2.683961678188954,5.683017835602178,6.0,0.2187426000018604,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 6}"
informative,smooth_turn,5,20260916,manoeuvre_history,45,10,32,3,0,15,0,3.359617830955261,nan,5.683017835602178,6.0,0.15177359999506734,167232,24,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
informative,smooth_turn,6,20260916,confirmed_recovery,45,20,20,5,5,15,1,3.158733047273924,2.966998600689795,5.41927782798849,5.5,0.2146842000001925,0,0,"{""pre_update_nis_gate"": 5}"
informative,smooth_turn,6,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.158733047273924,nan,5.41927782798849,5.5,0.15581209999800194,153640,23,"{""emission_outside_history"": 2}"
informative,smooth_turn,7,20260916,confirmed_recovery,45,18,19,8,4,15,1,3.6500054817004144,2.4310872233519785,5.486076362282519,5.5,0.31298420000530314,0,0,"{""confirmed_initialization_consensus_outlier"": 3, ""pre_update_nis_gate"": 5}"
informative,smooth_turn,7,20260916,manoeuvre_history,45,9,32,4,0,15,0,3.6500054817004144,nan,5.486076362282519,5.5,0.24814459999470273,140624,22,"{""confirmed_initialization_consensus_outlier"": 3, ""emission_outside_history"": 1}"
poorly_conditioned,constant_velocity,0,20260916,confirmed_recovery,45,17,28,0,0,15,0,4.85602280066249,nan,5.564026481978781,6.0,1.0123105000020587,0,0,{}
poorly_conditioned,constant_velocity,0,20260916,manoeuvre_history,45,17,27,1,0,15,0,4.85602280066249,nan,5.564026481978781,6.0,1.0453292000020156,153640,23,"{""emission_outside_history"": 1}"
poorly_conditioned,constant_velocity,1,20260916,confirmed_recovery,45,17,28,0,0,15,0,4.893619146006804,nan,5.729402409831356,6.0,1.0624400999950012,0,0,{}
poorly_conditioned,constant_velocity,1,20260916,manoeuvre_history,45,17,26,2,1,15,0,4.893619146006804,nan,5.729402409831356,6.0,1.0331568000037805,153640,23,"{""emission_outside_history"": 1, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_velocity,2,20260916,confirmed_recovery,45,18,25,2,1,15,0,5.455861594791652,nan,5.7193935095127735,6.0,1.271413800001028,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 1}"
