split,evaluation_seed,qc_alpha_m2_s3,geometry,trajectory_kind,variant,period,independent_sequence_count,dependent_publication_count,valid_publication_count,valid_fraction,confirmed_fraction,position_rmse_m_conditional,position_p95_m_conditional,position_max_m_conditional,velocity_rmse_mps_conditional,velocity_p95_mps_conditional,velocity_max_mps_conditional,coverage_conditional,valid_and_covered_fraction,mean_clean_rejected_during_per_sequence,clean_nis_rejection_fraction_during,mean_reset_count,mean_first_confirmation_time_s,mean_last_recovery_duration_s,mean_first_post_onset_accepted_update_processing_lag_s,mean_first_post_onset_accepted_update_first_publication_lag_s,mean_runtime_s_per_sequence,maximum_history_memory_bytes,maximum_history_nodes
evaluation,20260916,1.0,informative,constant_acceleration_segment,confirmed_recovery,during,8,72,64,0.8888888888888888,0.8888888888888888,4.007278443865638,7.497643001733908,10.233898933125461,3.1229230698580395,5.096262408210718,5.870642386752535,0.125,0.1111111111111111,4.625,0.30833333333333335,1.0,3.253892515515598,2.613744345490993,0.6165325999486632,0.8125,0.4743413124988365,0,0
evaluation,20260916,1.0,informative,constant_acceleration_segment,confirmed_recovery,post,8,64,22,0.34375,0.34375,1.7082166364138212,2.5331048129597855,2.7578081490671935,0.6884884021878885,1.2218400315262266,1.4658612358766998,1.0,0.34375,4.625,0.30833333333333335,1.0,3.253892515515598,2.613744345490993,0.6165325999486632,0.8125,0.4743413124988365,0,0
evaluation,20260916,1.0,informative,constant_acceleration_segment,confirmed_recovery,pre,8,80,23,0.2875,0.2875,1.1627175227569222,2.1393678687034727,3.0079271019351888,0.45605253306221627,0.7708383077974709,1.178544221551591,0.9565217391304348,0.275,4.625,0.30833333333333335,1.0,3.253892515515598,2.613744345490993,0.6165325999486632,0.8125,0.4743413124988365,0,0
evaluation,20260916,1.0,informative,constant_acceleration_segment,manoeuvre_history,during,8,72,72,1.0,1.0,2.102568368231387,3.6128149976271295,5.404741960517309,2.1882231801808025,3.4031435605360074,4.109145001005862,1.0,1.0,0.125,0.008333333333333333,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.19261165000079927,167232,24
evaluation,20260916,1.0,informative,constant_acceleration_segment,manoeuvre_history,post,8,64,64,1.0,1.0,2.007742122239117,3.602421224985998,4.804657711672612,1.0860903038592555,1.9546208590020415,3.316577952542846,1.0,1.0,0.125,0.008333333333333333,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.19261165000079927,167232,24
evaluation,20260916,1.0,informative,constant_acceleration_segment,manoeuvre_history,pre,8,80,23,0.2875,0.2875,1.7934602944192153,3.9724535200912077,4.112644522036156,0.6575875218432807,1.3754435448577143,1.4024559592789838,0.9130434782608695,0.2625,0.125,0.008333333333333333,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.19261165000079927,167232,24
evaluation,20260916,1.0,informative,constant_velocity,confirmed_recovery,during,8,72,72,1.0,1.0,0.6689850074547047,1.1721412357194967,1.5266122837141323,0.15210412626716344,0.2630806164213166,0.39403617817333403,0.9444444444444444,0.9444444444444444,0.25,0.016666666666666666,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.12751202500021463,0,0
evaluation,20260916,1.0,informative,constant_velocity,confirmed_recovery,post,8,64,64,1.0,1.0,0.4803856637688458,0.7396895894252765,1.0735943850501073,0.05872138088358557,0.09715512991303338,0.10342914036052966,0.890625,0.890625,0.25,0.016666666666666666,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.12751202500021463,0,0
evaluation,20260916,1.0,informative,constant_velocity,confirmed_recovery,pre,8,80,23,0.2875,0.2875,1.1627175227569222,2.1393678687034727,3.0079271019351888,0.45605253306221627,0.7708383077974709,1.178544221551591,0.9565217391304348,0.275,0.25,0.016666666666666666,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.12751202500021463,0,0
evaluation,20260916,1.0,informative,constant_velocity,manoeuvre_history,during,8,72,72,1.0,1.0,1.470287407549142,2.6604666024378583,4.589332618914663,0.795895934889234,1.1730978215470147,1.9052074758897342,1.0,1.0,0.25,0.016666666666666666,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.15972217500075203,167232,24
