configuration,physical_configuration,scenario,split,station_count,contributing_station_ids_json,station_geometry,orientation_mode,baseline_m,target_coordinates_world_m_json,target_x_m,target_y_m,target_z_m,target_range_over_baseline,target_horizontal_range_over_baseline,target_altitude_over_baseline,minimum_ray_intersection_angle_deg,maximum_ray_intersection_angle_deg,true_angular_bias_and_covariance_json,calibrated_bearing_statistics_json,bearing_covariance_source_split,evaluation_residual_used_to_fit_bearing_covariance,pose_mismatch_kind,position_pose_mismatch_max_m,orientation_pose_mismatch_max_deg,bearing_covariance_mismatch,erroneous_bearing_station_id,erroneous_bearing_offset_az_el_deg_json,independent_realization_count,dependent_residual_component_count,residual_components_are_independent_trials,base_seed,split_bearing_noise_seed,calibration_bearing_noise_seed,evaluation_bearing_noise_seed,calibration_evaluation_seed_overlap_count,seed_scope,position_bias_centering_source_split,evaluation_mean_used_for_position_error_centering,local_gaussian_covariance_benchmark,exact_position_crlb_claimed,truth_used_online,dynamic_tracking_implemented,retarded_time_fusion_implemented,mean_runtime_per_estimate_s,coverage,failure_fraction,position_rmse_m,position_error_p50_m,position_error_p95_m,position_error_p99_m,horizontal_rmse_m,horizontal_error_p95_m,vertical_rmse_m,vertical_error_p95_m,bias_x_m,bias_y_m,bias_z_m,empirical_position_covariance_m2_json,mean_predicted_position_covariance_m2_json,predicted_empirical_covariance_relative_frobenius,predicted_empirical_covariance_trace_ratio,normalized_position_error_p50,normalized_position_error_p95,position_ellipsoid_p95_coverage,information_rank_min,information_condition_median,information_condition_max,information_eigenvalue_median_json
equilateral_near__ideal_three,equilateral_near,ideal_three,calibration,3,"[""station_0"", ""station_1"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,none,0.0,0.0,False,,,128,768,False,20260831,1243961589,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.00288693203128787,1.0,0.0,0.29213603241280306,0.24713712748591865,0.5037898591883957,0.5827166208624964,0.22341925288675352,0.37549748120448617,0.18822140917924085,0.3214790555088275,0.001152269475147294,0.0009016504218614524,0.00133400456324137,"[[0.027134047857588935,0.013788696564774649,0.019321590467570482],[0.013788696564774649,0.023172997798648953,0.014370032820792819],[0.019321590467570482,0.014370032820792819,0.03570446040213614]]","[[0.02929007908853104,0.013246118073671279,0.018489618982760126],[0.013246118073671279,0.021572872661149288,0.0129438002377147],[0.018489618982760126,0.0129438002377147,0.04006373836233411]]",0.08882518216470521,0.9459434402859569,2.1273334216678865,6.292126680062459,0.984375,3,5.3691865569208534,5.669197787415728,"[16.076450134543325,58.42183235004744,86.28577279126787]"
equilateral_near__ideal_three,equilateral_near,ideal_three,evaluation,3,"[""station_0"", ""station_1"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,none,0.0,0.0,False,,,256,1536,False,20260831,337055381,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.0030770875000598608,1.0,0.0,0.29635358299537384,0.24394441017084512,0.5040148769297706,0.639018121136782,0.22000102245276876,0.3862128666032756,0.1985572871337949,0.39268380424684457,0.0008961610382848192,0.01811646616250421,-0.008849463523958503,"[[0.027247467593418336,0.011511338126422884,0.018437017009244442],[0.011511338126422884,0.021012488288686102,0.012636823857785626],[0.018437017009244442,0.012636823857785626,0.03950098398797341]]","[[0.029264463859012282,0.01327198771506974,0.01846519573123277],[0.01327198771506974,0.0216200083817434,0.012963577647362683],[0.01846519573123277,0.012963577647362683,0.040024470999002124]]",0.05268450954884632,0.9653719066849387,2.335376714345402,7.890077531349823,0.9453125,3,5.371264567300241,5.658775259160917,"[16.100894005110497,58.38967448355726,86.46217644655354]"
equilateral_near__ideal_two,equilateral_near,ideal_two,calibration,2,"[""station_0"", ""station_1""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514}]",calibration,False,none,0.0,0.0,False,,,128,512,False,20260831,1243961589,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.002477796875155036,1.0,0.0,0.5521031783326951,0.4070866488466587,0.9320337726888459,1.2723398674118511,0.45227990882303226,0.8189692208897391,0.31663986419920875,0.5971316719638524,0.00410536677889306,0.00514426729827247,0.004104999908812759,"[[0.07454722442419566,0.08410035221086508,0.05786147837525245],[0.08410035221086508,0.13157691884766073,0.08365885294019863],[0.05786147837525245,0.08365885294019863,0.1010332750370691]]","[[0.06570729019141237,0.06954038996773934,0.04838297545684988],[0.06954038996773934,0.11517094289174358,0.0734274065580194],[0.04838297545684988,0.0734274065580194,0.09583038804023702]]",0.13222419276487943,1.1100392068086467,2.5106443845600968,8.224970484818863,0.9375,3,13.721002234987493,15.052413245544535,"[4.458729856289965,27.735466363083876,61.20037295293457]"
equilateral_near__ideal_two,equilateral_near,ideal_two,evaluation,2,"[""station_0"", ""station_1""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514}]",calibration,False,none,0.0,0.0,False,,,256,1024,False,20260831,337055381,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.002388545312669521,1.0,0.0,0.5111179107716656,0.3987550269608672,0.9098401458125462,1.1293762148058506,0.4123796490746815,0.7693770483479874,0.3019677859319349,0.5770171406734139,0.005272429454299989,0.01180137508063684,-0.03369395872856821,"[[0.06267242625143142,0.06400599316000695,0.043261799423024536],[0.06400599316000695,0.10788371267104747,0.06700487787404608],[0.043261799423024536,0.06700487787404608,0.09040239524224748]]","[[0.0655534283518366,0.06946264057750141,0.0481632710735307],[0.06946264057750141,0.1151775106035303,0.07321775438307136],[0.0481632710735307,0.07321775438307136,0.09540394727563394]]",0.07794696588647754,0.9450400770673406,2.3143607921686318,7.835847318186114,0.94921875,3,13.696562770645972,14.768268246617247,"[4.481026205648272,27.84874708942734,61.32978337692869]"
equilateral_near__one_station_failure,equilateral_near,one_station_failure,calibration,2,"[""station_0"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,none,0.0,0.0,False,,,128,512,False,20260831,1243961589,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.0025186671878145717,1.0,0.0,0.5877776960577566,0.44068519039908427,1.115244546111604,1.4064925790170404,0.4566365264754903,0.9048550834683057,0.37008877674331514,0.7006738823202255,0.006984159462380804,0.0018315219288621981,0.005726929960734206,"[[0.18408111018465645,0.03287041251878201,0.1391691178458664],[0.03287041251878201,0.02602512916589907,0.026224603296723648],[0.1391691178458664,0.026224603296723648,0.13801111679454559]]","[[0.1839536414620694,0.03488729661370411,0.14527705989128795],[0.03488729661370411,0.02555971760688398,0.027524181534404224],[0.14527705989128795,0.027524181534404224,0.15478052141213774]]",0.06191583731411004,0.9555948501944992,2.280837175334934,6.926219337958068,0.9765625,3,18.459158006910258,20.19880181096381,"[3.135075787663107,40.374939997202915,57.447253528213665]"
equilateral_near__one_station_failure,equilateral_near,one_station_failure,evaluation,2,"[""station_0"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,none,0.0,0.0,False,,,256,1024,False,20260831,337055381,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.0023539492187865108,1.0,0.0,0.59426894382874,0.42960480017241076,1.1074162057381285,1.375774976882864,0.44840487902046555,0.8533335200880786,0.38998543827938975,0.7486968128024536,0.029447321060281556,0.0170770232233967,0.03208962018379927,"[[0.1768160700784668,0.02999593931253259,0.1407377542965735],[0.02999593931253259,0.023876049603600017,0.025045321677034174],[0.1407377542965735,0.025045321677034174,0.1516512861830797]]","[[0.18479971740237291,0.035225748611123146,0.14602280834853362],[0.035225748611123146,0.025718024719558887,0.02781720255431229],[0.14602280834853362,0.02781720255431229,0.1555575745582333]]",0.04622373929298346,0.9624888371618455,2.531275861944822,7.392778134241231,0.95703125,3,18.474169492928254,20.40016411147206,"[3.1006572230963894,40.145170868269645,57.19867547210633]"
equilateral_near__position_calibration_mismatch,equilateral_near,position_calibration_mismatch,calibration,3,"[""station_0"", ""station_1"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,position,0.09433981132056604,0.0,False,,,128,768,False,20260831,1243961589,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.0032343328125534754,1.0,0.0,0.29691207915489615,0.25678757351261816,0.48857170671888833,0.6147942602641463,0.2273309530731502,0.36990422574738857,0.19099062941133133,0.35906559535147486,-0.04760304004774184,-0.000352234227716422,-0.037527432032227304,"[[0.026905567354145555,0.013605962561474626,0.019140283502027813],[0.013605962561474626,0.022896701606518365,0.014154692759163768],[0.019140283502027813,0.014154692759163768,0.0353452471110582]]","[[0.029084117272215455,0.013114877482835798,0.018364360850778222],[0.013114877482835798,0.021359487435154954,0.012789523897164376],[0.018364360850778222,0.012789523897164376,0.03971537357192005]]",0.08889902326208181,0.944415272852316,2.1255369995243147,6.29539562665788,0.984375,3,5.364259473539846,5.66305318581163,"[16.21534162049323,58.92783920773944,86.94386370926767]"
equilateral_near__position_calibration_mismatch,equilateral_near,position_calibration_mismatch,evaluation,3,"[""station_0"", ""station_1"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,position,0.09433981132056604,0.0,False,,,256,1536,False,20260831,337055381,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.003176845312509613,1.0,0.0,0.3024899600724625,0.2569014855004622,0.5259038653242663,0.6872026089550036,0.22409906211869499,0.38126743712365163,0.2031742756900125,0.4019960929469226,-0.047852994270537436,0.01683948095957275,-0.047587500310339904,"[[0.027059147605758577,0.011378035988194443,0.018317041541537613],[0.011378035988194443,0.020774615494185425,0.012467320080654945],[0.018317041541537613,0.012467320080654945,0.03916821696388981]]","[[0.029059004525888263,0.013140810752336802,0.018340451944253038],[0.013140810752336802,0.02140628741851338,0.012809458651349727],[0.018340451944253038,0.012809458651349727,0.039676947583943946]]",0.05310353145069262,0.9651632854814494,2.327427101142624,7.892793349954492,0.9453125,3,5.3659365541896324,5.654170839481573,"[16.24293761644996,58.88837212127561,87.11490174527358]"
equilateral_near__orientation_calibration_mismatch,equilateral_near,orientation_calibration_mismatch,calibration,3,"[""station_0"", ""station_1"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,orientation,0.0,0.2569046515733026,False,,,128,768,False,20260831,1243961589,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.003161605468903872,1.0,0.0,0.2949303580159937,0.2573337273356294,0.4817446777220583,0.5919905110660962,0.2263389259567324,0.3784469921989141,0.189088885649567,0.34253882341407305,0.004001675327052617,-0.0391661463666827,-0.020106476578804003,"[[0.027003132184250118,0.013714213092847684,0.019225568993402196],[0.013714213092847684,0.023067352453590654,0.014314810353913356],[0.019225568993402196,0.014314810353913356,0.03562868538031476]]","[[0.029034388036703454,0.013120173688849424,0.018317855890209303],[0.013120173688849424,0.021472124201864395,0.012832763192421095],[0.018317855890209303,0.012832763192421095,0.03987870278610906]]",0.0880994577913833,0.9481547396303476,2.1229566546058027,6.283568491077813,0.984375,3,5.347142546867579,5.646693262261462,"[16.198544201842118,58.58388500292503,86.57280309174676]"
equilateral_near__orientation_calibration_mismatch,equilateral_near,orientation_calibration_mismatch,evaluation,3,"[""station_0"", ""station_1"", ""station_2""]",equilateral,aligned,20.0,"[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,"[{""station_id"":""station_0"",""mu_rad"":[0.0013962634015954637,-0.0008726646259971648],""R_rad2"":[[3.73156339238718e-05,-1.1727770661788283e-05],[-1.1727770661788283e-05,9.214676948547937e-05]]},{""station_id"":""station_1"",""mu_rad"":[-0.0008377580409572782,0.0006981317007977319],""R_rad2"":[[4.633230954955836e-05,1.5444103183186123e-05],[1.5444103183186123e-05,8.236855031032602e-05]]},{""station_id"":""station_2"",""mu_rad"":[0.0005585053606381855,0.0004363323129985824],""R_rad2"":[[5.6323760918562415e-05,6.418289034905951e-06],[6.418289034905951e-06,7.313864249078874e-05]]}]","[{""station_id"":""station_0"",""mu_cal_rad"":[0.0014707863593766309,-0.001067169686552394],""R_cal_rad2"":[[3.717693867077774e-05,-9.669637090492934e-06],[-9.669637090492934e-06,7.91115053505583e-05]],""R_rank"":2,""R_condition"":2.317348229793602},{""station_id"":""station_1"",""mu_cal_rad"":[-0.0005748129847407475,0.0022704576889952493],""R_cal_rad2"":[[4.663596422002944e-05,1.5203362876112734e-05],[1.5203362876112734e-05,9.39471157049773e-05]],""R_rank"":2,""R_condition"":2.3335925297659514},{""station_id"":""station_2"",""mu_cal_rad"":[-0.0007011896052294903,-0.00041389897108626137],""R_cal_rad2"":[[5.4237482018859474e-05,-3.65215706738042e-07],[-3.65215706738042e-07,6.77506018999512e-05]],""R_rank"":2,""R_condition"":1.2495563517691732}]",calibration,False,orientation,0.0,0.2569046515733026,False,,,256,1536,False,20260831,337055381,1243961589,337055381,0,independent_bearing_level_realizations,calibration,False,True,False,False,False,False,0.0031518019532086328,1.0,0.0,0.29755083632228346,0.24726125449707076,0.5163127090390826,0.6730603100485594,0.21988460716100194,0.3710921556608193,0.20046760269365768,0.391923055947212,0.00380003943855009,-0.021937584375474155,-0.030245652821713147,"[[0.02711485458451743,0.01144713584384382,0.01834429464049621],[0.01144713584384382,0.020926348925074476,0.012593615382576522],[0.01834429464049621,0.012593615382576522,0.03942646986303305]]","[[0.029009397723713467,0.013146023088266064,0.018294107638293266],[0.013146023088266064,0.021519074866773635,0.012852641854161306],[0.018294107638293266,0.012852641854161306,0.03984024820270934]]",0.05018512046307838,0.967897659775329,2.346217644215865,7.886810275924005,0.9453125,3,5.3492548620504135,5.636153434304414,"[16.217098404702387,58.548574223585035,86.74465038937234]"
