estimator_variant,motion_phase,publication_phase_basis,update_phase_basis,confirmed_before_manoeuvre,accepted_update_count,rejected_update_count,update_attempt_count,correction_status,dependent_publication_count,valid_publication_count,valid_publication_fraction,position_rmse_m_conditional,position_p95_m_conditional,velocity_rmse_mps_conditional,coverage_conditional,valid_and_covered_fraction,final_time_since_last_accepted_update_s,maximum_time_since_last_accepted_update_s,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db,source_recording_id,source_session_id,source_data_independent_between_splits,result_scope
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,5,3,8,measurement_correction_in_phase,18,6,0.3333333333333333,6.37298397233167,7.625791598430111,3.0555143500015283,1.0,0.3333333333333333,0.0,0.0,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,6,0,6,measurement_correction_in_phase,9,9,1.0,3.269830956960814,4.382780176881538,2.2781426283452815,1.0,1.0,0.0,0.0,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,0,0,0,prediction_without_correction_in_phase,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,8,1,9,measurement_correction_in_phase,18,7,0.3888888888888889,8.698377592597106,11.775348924790864,6.122162656909704,0.42857142857142855,0.16666666666666666,0.0,0.0,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,5,1,6,measurement_correction_in_phase,9,9,1.0,2.4770288968833656,4.750281687988899,1.5818165075512758,1.0,1.0,0.0,0.015000000000000124,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
equal_weight_srp_phat,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,0,0,0,prediction_without_correction_in_phase,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.5861811954176358,0.687258042543401,0.3875591110981527,1.0,0.5,0.0,0.0,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,6,0,6,measurement_correction_in_phase,9,9,1.0,0.48571646885458397,0.6263042369286332,0.12013263595055992,1.0,1.0,0.0,0.0,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,0,0,0,prediction_without_correction_in_phase,0,0,nan,nan,nan,nan,nan,nan,nan,nan,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.7395990304832722,0.8552603672042705,0.4179419353736716,1.0,0.5,0.0,0.0,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,6,0,6,measurement_correction_in_phase,9,9,1.0,0.3791510261188493,0.5118533200152012,0.08768727801138959,1.0,1.0,0.0,0.0,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
equal_weight_srp_phat,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,0,0,0,prediction_without_correction_in_phase,0,0,nan,nan,nan,nan,nan,nan,nan,nan,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
