event_id,station_id,frame_index,estimator_variant,processing_time_s,reception_center_timestamp_s,true_emission_time_s_evaluator_only,update_motion_phase_evaluator_only,update_applied,failure_reason,pre_update_nis,truth_used_by_tracker,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db,source_recording_id,source_session_id,source_data_independent_between_splits,result_scope
s8-recorded-evaluation-0|S1|128|all_6_equal_gcc_wls,S1,128,all_6_equal_gcc_wls,1.9116458333333333,1.8759895833333333,1.6862909191909923,before_manoeuvre,False,emission_outside_history,nan,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S2|128|all_6_equal_gcc_wls,S2,128,all_6_equal_gcc_wls,1.9266458333333334,1.8759895833333333,1.6051214785043264,before_manoeuvre,False,emission_outside_history,nan,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S0|160|all_6_equal_gcc_wls,S0,160,all_6_equal_gcc_wls,2.2379791666666664,2.217322916666667,1.9085865480885869,before_manoeuvre,False,emission_outside_history,nan,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S1|160|all_6_equal_gcc_wls,S1,160,all_6_equal_gcc_wls,2.2529791666666665,2.217322916666667,2.0309032451507942,before_manoeuvre,True,,0.21666815226607716,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S2|160|all_6_equal_gcc_wls,S2,160,all_6_equal_gcc_wls,2.267979166666666,2.217322916666667,1.939265201282121,before_manoeuvre,True,,0.8603599361320996,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S0|192|all_6_equal_gcc_wls,S0,192,all_6_equal_gcc_wls,2.5793125,2.5586562500000003,2.2452275665499624,before_manoeuvre,True,,0.0008416694299523774,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S1|192|all_6_equal_gcc_wls,S1,192,all_6_equal_gcc_wls,2.5943125,2.5586562500000003,2.375240110555998,before_manoeuvre,True,,0.1936206000576498,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S2|192|all_6_equal_gcc_wls,S2,192,all_6_equal_gcc_wls,2.6093124999999997,2.5586562500000003,2.2733900908577027,before_manoeuvre,True,,1.030893427653382,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S0|224|all_6_equal_gcc_wls,S0,224,all_6_equal_gcc_wls,2.920645833333333,2.8999895833333333,2.581756992410878,during_manoeuvre,True,,0.05578434464345599,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
s8-recorded-evaluation-0|S1|224|all_6_equal_gcc_wls,S1,224,all_6_equal_gcc_wls,2.935645833333333,2.8999895833333333,2.7192884884110597,during_manoeuvre,True,,0.005927881308678832,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
