geometry,motion,angular_noise_std_deg,delivery_schedule,mode,prefix_index,row_type,base_seed,seed_scheme,processing_time_s,independent_sequence_count,dependent_prefix_count_per_sequence,successful_sequence_count,successful_fraction,failure_reason_counts,position_rmse_m,position_median_m,position_p95_m,velocity_rmse_mps,velocity_median_mps,velocity_p95_mps,position_bias_e_m,position_bias_n_m,position_bias_u_m,velocity_bias_e_mps,velocity_bias_n_mps,velocity_bias_u_mps,mean_used_measurement_count,median_condition_number,median_runtime_s,maximum_constraint_residual_rad,maximum_scaled_kkt_residual
wide,stationary,0.05,ordered,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.019999999999999,4,5,4,1.0,{},0.08638450429454995,0.08451081072308295,0.11160545537020143,0.027265827795617474,0.02568188933028607,0.03701291412973717,0.018238293676750672,-0.04509577873785808,0.03146749436162466,-0.01112981579307133,0.012401328512762974,-0.010042158410328617,19.0,113.70053070207956,0.05714024999178946,0.0,1.913998422835698e-07
wide,stationary,0.05,ordered,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},1.0171706588736618,0.751186130899518,1.4978899019487317,1.248824551367853,0.9159040466433864,1.842055907539987,0.15317769104994028,0.14741503455629967,0.1301949368720816,-0.18119826577009088,-0.2254443165022205,-0.14978462042426588,4.0,36581.191987749,0.016659999906551093,0.0,2.3504329228596897e-08
wide,stationary,0.05,ordered,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.10638491421077141,0.10990082436739215,0.1312375773332353,0.08727993104110464,0.08707887953968449,0.11654173521360137,0.027897710485383698,-0.05988438019658204,0.010557932890563393,-0.01768792935803357,0.031954472410736214,0.0032940193396018246,8.0,802.5609341705481,0.023133349954150617,0.0,2.770893077779038e-09
wide,stationary,0.05,ordered,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.09329411471546628,0.10159380920976965,0.10998669413581603,0.04532727364179861,0.04487375639433555,0.05590900459275158,0.0291797338246802,-0.021308799477887774,0.015263333125792755,-0.017780458635700276,-0.0014129203165832724,0.0014655249304798296,12.0,274.1708362203668,0.04142495000269264,0.0,3.848498061650177e-07
wide,stationary,0.05,ordered,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.07905357680298254,0.08402889749806158,0.09860451945984673,0.03110680570085901,0.029668936610926816,0.04203481052983096,0.03023756531173305,-0.025889031933093776,0.03766241616809651,-0.017834436473862313,0.0013761304500763175,-0.013533649508246478,16.0,163.05136835638842,0.05542175000300631,0.0,3.7239447010784935e-07
wide,stationary,0.05,ordered,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.08638450429454995,0.08451081072308295,0.11160545537020143,0.027265827795617474,0.02568188933028607,0.03701291412973717,0.018238293676750672,-0.04509577873785808,0.03146749436162466,-0.01112981579307133,0.012401328512762974,-0.010042158410328617,19.0,113.70053070207956,0.06800550001207739,0.0,1.913998422835698e-07
wide,stationary,0.05,reordered_dropout,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.502103609760322,4,5,4,1.0,{},0.0979674135699192,0.08763835952301065,0.1346819329439522,0.029735096046832495,0.030526841529529745,0.03682212736853254,-0.0033860553668496607,-0.001343319073171756,0.022966685562822775,0.003986876407031193,0.00012129855970169964,-0.008085189657995536,17.0,106.79158499998351,0.08005425002193078,0.0,3.147045025233984e-07
wide,stationary,0.05,reordered_dropout,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,1,0.25,"{""insufficient_measurements"": 3}",1.8465960404542832,1.8465960404542832,1.8465960404542832,2.2768017944785557,2.2768017944785557,2.2768017944785557,1.520643663471546,0.6647342885533263,0.8097457076062682,-1.895901611356176,-0.7602596890573369,-1.00567822716427,2.25,50915.61714724809,1.1850032024085522e-05,0.0,0.0
wide,stationary,0.05,reordered_dropout,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.20156879586372894,0.1561253725581297,0.29289233186007374,0.15100602274795075,0.14849598352673468,0.19184700339415206,-0.02347617868346319,0.0931184050612508,0.08515667557028728,0.01993887579103065,-0.09004397050616193,-0.06301499679771536,5.75,1715.7268812493924,0.022253899951465428,0.0,2.9345897296331133e-09
wide,stationary,0.05,reordered_dropout,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.14721424759960264,0.12034104645951332,0.21556429915414915,0.0734734108989655,0.06366193669046216,0.09651089096451411,-0.02955144115131958,0.018353764340787393,0.0489977030203157,0.02560867575758777,-0.013355383040697286,-0.029070007531671854,8.75,523.0936850265105,0.03867954993620515,0.0,2.0309749963458583e-07
