metric,value
scene_count,1000
ordinary_speed_scene_count,950
near_sonic_scene_count,50
seed,20260901
max_emission_equation_residual_s,1.1102230246251565e-15
max_analytic_numeric_emission_time_difference_s,4.884981308350689e-15
max_emission_time_jacobian_abs_mismatch,6.915884531721872e-12
max_local_direction_jacobian_abs_mismatch,4.486511717693986e-10
max_tangent_residual_jacobian_abs_mismatch,2.725225094202255e-09
max_jacobian_relative_mismatch,3.861468973416781e-06
one_station_temporal_radial_rank,4
one_station_temporal_radial_smallest_singular_value,1.5312424663145318e-18
one_station_temporal_nonradial_rank,6
one_station_temporal_nonradial_smallest_singular_value,1.6270620060085154e-08
one_station_temporal_nonradial_condition_number,2670001.46786563
one_station_temporal_nonradial_fd_max_abs_mismatch,5.663698676716677e-13
one_station_temporal_nonradial_fd_spectral_norm_mismatch,8.354790381042242e-13
one_station_temporal_nonradial_fd_max_to_smin_ratio,3.480935978961724e-05
one_station_instantaneous_rank,5
one_station_instantaneous_smallest_singular_value,1.794080034499726e-18
one_station_instantaneous_condition_number,inf
one_station_instantaneous_scale_null_max_abs,1.0408340855860843e-16
three_station_temporal_rank,6
three_station_temporal_condition_number,9.577896723107909
poor_geometry_short_window_rank,6
poor_geometry_short_window_condition_number,4316.373666947092
three_station_smallest_singular_value,0.010160665945304471
poor_geometry_smallest_singular_value,8.72927229583684e-06
one_station_nonradial_c_343_rank,6
one_station_nonradial_c_343_smallest_singular_value,1.6270620059271063e-08
one_station_nonradial_c_343_condition_number,2670001.4679992227
one_station_nonradial_c_343_to_instantaneous_spectral_norm,0.005131610546002005
one_station_nonradial_c_3430_rank,6
one_station_nonradial_c_3430_smallest_singular_value,1.611393764476606e-09
one_station_nonradial_c_3430_condition_number,29338477.79181051
one_station_nonradial_c_3430_to_instantaneous_spectral_norm,0.000513609396293407
one_station_nonradial_c_34300_rank,6
one_station_nonradial_c_34300_smallest_singular_value,1.6098350716521786e-10
one_station_nonradial_c_34300_condition_number,296082544.52698547
one_station_nonradial_c_34300_to_instantaneous_spectral_norm,5.136613363563169e-05
