geometry,geometry_index,sequence_index,base_seed,independent_unit,truth_provenance,truth_seed,nominal_bearing_noise_provenance,nominal_bearing_noise_seed,transport_loss_uniform_provenance,transport_loss_uniform_seed,transport_delay_uniform_provenance,transport_delay_uniform_seed,outlier_mask_uniform_provenance,outlier_mask_uniform_seed,outlier_direction_provenance,outlier_direction_seed
informative,0,0,20260912,whole_base_sequence,s7cd1:20260912:0:0:truth,14500171368400140352,s7cd1:20260912:0:0:nominal_bearing_noise,15675998935279591816,s7cd1:20260912:0:0:transport_loss_uniform,2529694066078639058,s7cd1:20260912:0:0:transport_delay_uniform,10696491063934308069,s7cd1:20260912:0:0:outlier_mask_uniform,8949922421787339347,s7cd1:20260912:0:0:outlier_direction,3985878561136721600
informative,0,1,20260912,whole_base_sequence,s7cd1:20260912:0:1:truth,9888497387174430721,s7cd1:20260912:0:1:nominal_bearing_noise,17992435903418338308,s7cd1:20260912:0:1:transport_loss_uniform,5569763048779321703,s7cd1:20260912:0:1:transport_delay_uniform,15482168033396082505,s7cd1:20260912:0:1:outlier_mask_uniform,5744521244477582406,s7cd1:20260912:0:1:outlier_direction,7409671731633999707
informative,0,2,20260912,whole_base_sequence,s7cd1:20260912:0:2:truth,9470309355652866839,s7cd1:20260912:0:2:nominal_bearing_noise,11499741093296695180,s7cd1:20260912:0:2:transport_loss_uniform,7436863061289204579,s7cd1:20260912:0:2:transport_delay_uniform,15694347926422577201,s7cd1:20260912:0:2:outlier_mask_uniform,14962229221882318471,s7cd1:20260912:0:2:outlier_direction,4803703022444292546
informative,0,3,20260912,whole_base_sequence,s7cd1:20260912:0:3:truth,13588034318517335661,s7cd1:20260912:0:3:nominal_bearing_noise,14334665688038146040,s7cd1:20260912:0:3:transport_loss_uniform,9429416492690545659,s7cd1:20260912:0:3:transport_delay_uniform,2745356661736235563,s7cd1:20260912:0:3:outlier_mask_uniform,13538360450510625569,s7cd1:20260912:0:3:outlier_direction,1282328800117836713
informative,0,4,20260912,whole_base_sequence,s7cd1:20260912:0:4:truth,955772180987161283,s7cd1:20260912:0:4:nominal_bearing_noise,3416488949017464508,s7cd1:20260912:0:4:transport_loss_uniform,5149073550221258269,s7cd1:20260912:0:4:transport_delay_uniform,2967106821566104190,s7cd1:20260912:0:4:outlier_mask_uniform,13811753815125413725,s7cd1:20260912:0:4:outlier_direction,13071131619169113957
informative,0,5,20260912,whole_base_sequence,s7cd1:20260912:0:5:truth,13647435136733757665,s7cd1:20260912:0:5:nominal_bearing_noise,4199663184175184983,s7cd1:20260912:0:5:transport_loss_uniform,17743540063459040110,s7cd1:20260912:0:5:transport_delay_uniform,14471313427317754407,s7cd1:20260912:0:5:outlier_mask_uniform,2134607472050986658,s7cd1:20260912:0:5:outlier_direction,7624850248775538165
informative,0,6,20260912,whole_base_sequence,s7cd1:20260912:0:6:truth,15403321175239159274,s7cd1:20260912:0:6:nominal_bearing_noise,3050352334468298789,s7cd1:20260912:0:6:transport_loss_uniform,15233491507416370819,s7cd1:20260912:0:6:transport_delay_uniform,14322616201662832137,s7cd1:20260912:0:6:outlier_mask_uniform,10715694127786610261,s7cd1:20260912:0:6:outlier_direction,3342995945359316476
informative,0,7,20260912,whole_base_sequence,s7cd1:20260912:0:7:truth,9955095602647535825,s7cd1:20260912:0:7:nominal_bearing_noise,11850892659589749821,s7cd1:20260912:0:7:transport_loss_uniform,14324756680772979910,s7cd1:20260912:0:7:transport_delay_uniform,4845175417121759432,s7cd1:20260912:0:7:outlier_mask_uniform,2833579589765054583,s7cd1:20260912:0:7:outlier_direction,730918183290227714
informative,0,8,20260912,whole_base_sequence,s7cd1:20260912:0:8:truth,4223528003238643894,s7cd1:20260912:0:8:nominal_bearing_noise,16353387127643061358,s7cd1:20260912:0:8:transport_loss_uniform,18439819965330240065,s7cd1:20260912:0:8:transport_delay_uniform,5287969840153256587,s7cd1:20260912:0:8:outlier_mask_uniform,14932724010329808898,s7cd1:20260912:0:8:outlier_direction,12091840673721797928
informative,0,9,20260912,whole_base_sequence,s7cd1:20260912:0:9:truth,3024358805490748057,s7cd1:20260912:0:9:nominal_bearing_noise,12708882512899504152,s7cd1:20260912:0:9:transport_loss_uniform,11281375712131518060,s7cd1:20260912:0:9:transport_delay_uniform,16411832362699108121,s7cd1:20260912:0:9:outlier_mask_uniform,3050187636893429848,s7cd1:20260912:0:9:outlier_direction,2916289167483733115
informative,0,10,20260912,whole_base_sequence,s7cd1:20260912:0:10:truth,12142504333687703986,s7cd1:20260912:0:10:nominal_bearing_noise,3512749515926882880,s7cd1:20260912:0:10:transport_loss_uniform,14750525923878759528,s7cd1:20260912:0:10:transport_delay_uniform,3206676601266466345,s7cd1:20260912:0:10:outlier_mask_uniform,2521393431163081167,s7cd1:20260912:0:10:outlier_direction,2545458185182672452
informative,0,11,20260912,whole_base_sequence,s7cd1:20260912:0:11:truth,2910673764079418503,s7cd1:20260912:0:11:nominal_bearing_noise,9727892056830057860,s7cd1:20260912:0:11:transport_loss_uniform,3992149933411447273,s7cd1:20260912:0:11:transport_delay_uniform,1308589975956857478,s7cd1:20260912:0:11:outlier_mask_uniform,427010348828653232,s7cd1:20260912:0:11:outlier_direction,937957697802597295
informative,0,12,20260912,whole_base_sequence,s7cd1:20260912:0:12:truth,9729191607239387097,s7cd1:20260912:0:12:nominal_bearing_noise,2367096074802271039,s7cd1:20260912:0:12:transport_loss_uniform,9397174951025763388,s7cd1:20260912:0:12:transport_delay_uniform,10009387456707677719,s7cd1:20260912:0:12:outlier_mask_uniform,5314638113742596007,s7cd1:20260912:0:12:outlier_direction,15654006985823909340
informative,0,13,20260912,whole_base_sequence,s7cd1:20260912:0:13:truth,742352563991241130,s7cd1:20260912:0:13:nominal_bearing_noise,1074108396208346092,s7cd1:20260912:0:13:transport_loss_uniform,3764124926256941972,s7cd1:20260912:0:13:transport_delay_uniform,3044207675272824548,s7cd1:20260912:0:13:outlier_mask_uniform,2594076782964924486,s7cd1:20260912:0:13:outlier_direction,12393957769155478585
informative,0,14,20260912,whole_base_sequence,s7cd1:20260912:0:14:truth,15261528738389738660,s7cd1:20260912:0:14:nominal_bearing_noise,10751679945256185686,s7cd1:20260912:0:14:transport_loss_uniform,5752255872925908572,s7cd1:20260912:0:14:transport_delay_uniform,10309274803809038376,s7cd1:20260912:0:14:outlier_mask_uniform,10924571885609351758,s7cd1:20260912:0:14:outlier_direction,10732376442198582937
informative,0,15,20260912,whole_base_sequence,s7cd1:20260912:0:15:truth,17261811622512053212,s7cd1:20260912:0:15:nominal_bearing_noise,8069231002267916553,s7cd1:20260912:0:15:transport_loss_uniform,18058381946362634658,s7cd1:20260912:0:15:transport_delay_uniform,8711542267852624726,s7cd1:20260912:0:15:outlier_mask_uniform,15710801135628875712,s7cd1:20260912:0:15:outlier_direction,11917112392349378519
informative,0,16,20260912,whole_base_sequence,s7cd1:20260912:0:16:truth,14396660688993586448,s7cd1:20260912:0:16:nominal_bearing_noise,14719878339768589838,s7cd1:20260912:0:16:transport_loss_uniform,9899883388257918827,s7cd1:20260912:0:16:transport_delay_uniform,13467678297996635105,s7cd1:20260912:0:16:outlier_mask_uniform,4388252348724032649,s7cd1:20260912:0:16:outlier_direction,7777353130255233061
informative,0,17,20260912,whole_base_sequence,s7cd1:20260912:0:17:truth,637776039930180405,s7cd1:20260912:0:17:nominal_bearing_noise,10092556689972220658,s7cd1:20260912:0:17:transport_loss_uniform,8945244119824341675,s7cd1:20260912:0:17:transport_delay_uniform,8021466993850448218,s7cd1:20260912:0:17:outlier_mask_uniform,6431831593107831404,s7cd1:20260912:0:17:outlier_direction,7299826979750729760
informative,0,18,20260912,whole_base_sequence,s7cd1:20260912:0:18:truth,14818205279922444004,s7cd1:20260912:0:18:nominal_bearing_noise,12280966009390557963,s7cd1:20260912:0:18:transport_loss_uniform,10341542391564909047,s7cd1:20260912:0:18:transport_delay_uniform,18192990457046491573,s7cd1:20260912:0:18:outlier_mask_uniform,15660874792704660543,s7cd1:20260912:0:18:outlier_direction,1871800651547006358
informative,0,19,20260912,whole_base_sequence,s7cd1:20260912:0:19:truth,496537284033347416,s7cd1:20260912:0:19:nominal_bearing_noise,16392526847387180090,s7cd1:20260912:0:19:transport_loss_uniform,8585415915376593304,s7cd1:20260912:0:19:transport_delay_uniform,18038274872212281365,s7cd1:20260912:0:19:outlier_mask_uniform,16457708057945344282,s7cd1:20260912:0:19:outlier_direction,6203067824695066347
informative,0,20,20260912,whole_base_sequence,s7cd1:20260912:0:20:truth,18132063349460323709,s7cd1:20260912:0:20:nominal_bearing_noise,13766418825236841456,s7cd1:20260912:0:20:transport_loss_uniform,5081109896982640184,s7cd1:20260912:0:20:transport_delay_uniform,9227905082889575364,s7cd1:20260912:0:20:outlier_mask_uniform,144403303095187284,s7cd1:20260912:0:20:outlier_direction,5621110868154382029
informative,0,21,20260912,whole_base_sequence,s7cd1:20260912:0:21:truth,16208936283336311309,s7cd1:20260912:0:21:nominal_bearing_noise,1897468600393132240,s7cd1:20260912:0:21:transport_loss_uniform,2105433590378734291,s7cd1:20260912:0:21:transport_delay_uniform,6620472226252411127,s7cd1:20260912:0:21:outlier_mask_uniform,15113990003275525050,s7cd1:20260912:0:21:outlier_direction,1557362230544215411
