geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,sequence_index,base_seed,seed_scheme,truth_seed,bearing_noise_seed,delivery_seed,truth_provenance,bearing_noise_provenance,delivery_provenance,independent_unit,time_samples_within_sequence_are_dependent,tangent_frame,method,dependent_publication_count,valid_publication_count,initialization_succeeded,time_to_first_estimate_s,final_valid,final_failure_reason,failure_reason_counts,dependent_time_position_rmse_m,dependent_time_position_p95_m,dependent_time_velocity_rmse_mps,dependent_time_velocity_p95_mps,final_position_error_m,final_velocity_error_mps,final_state_nees,final_state_95_coverage,mean_measurement_nis,measurement_nis_95_coverage_fraction,total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue
informative,stationary,0.03,0.05,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",521039644337904184,17578740523452139780,13626792908612053856,s7cc1:20260908:0:0:truth,s7cc1:20260908:0:0:bearing_noise,s7cc1:20260908:0:0:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.060719370050186905,0.08300875052637176,0.05427181271392875,0.07983619768664896,0.05666754104900596,0.03881051748128976,5.709471184165116,True,0.9292975821666383,1.0,0.046777499996096594,0.0005010777773956457,0.0,2.7629172208584414e-05
informative,stationary,0.03,0.05,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",521039644337904184,17578740523452139780,13626792908612053856,s7cc1:20260908:0:0:truth,s7cc1:20260908:0:0:bearing_noise,s7cc1:20260908:0:0:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.12152269489727852,0.2092076585654568,0.2274220850068159,0.3740543010112316,0.056678566671239175,0.03881301375438077,5.710708225900113,True,nan,nan,0.5470875000064552,nan,0.0,2.7626114006843475e-05
informative,stationary,0.03,0.05,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",521039644337904184,17578740523452139780,13626792908612053856,s7cc1:20260908:0:0:truth,s7cc1:20260908:0:0:bearing_noise,s7cc1:20260908:0:0:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.1821688018405216,0.25969177736330723,0.09241077308775889,0.09241077308775889,0.2659530644539313,0.09241077308775889,5.711701541375538,True,nan,nan,0.04050279999501072,nan,1.734723475976807e-18,3.658344349103611e-05
informative,stationary,0.03,0.05,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",521039644337904184,17578740523452139780,13626792908612053856,s7cc1:20260908:0:0:truth,s7cc1:20260908:0:0:bearing_noise,s7cc1:20260908:0:0:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.056678566671239175,0.056678566671239175,0.03881301375438077,0.03881301375438077,0.056678566671239175,0.03881301375438077,5.710708225900113,True,nan,nan,0.0858518000022741,nan,0.0,2.7626114006843475e-05
informative,stationary,0.03,0.05,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3310789704769684757,6539095117749372701,13927427359616779177,s7cc1:20260908:0:1:truth,s7cc1:20260908:0:1:bearing_noise,s7cc1:20260908:0:1:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.09420805737356035,0.1361086528504285,0.06971005259677113,0.12315165620869029,0.07119089113352318,0.02289225663223809,3.621746662363208,True,2.0515956723846682,1.0,0.03772969999772613,0.0005779000004824613,0.0,2.8521655401017847e-05
informative,stationary,0.03,0.05,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3310789704769684757,6539095117749372701,13927427359616779177,s7cc1:20260908:0:1:truth,s7cc1:20260908:0:1:bearing_noise,s7cc1:20260908:0:1:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.13214220185007775,0.21950857065955995,0.15890265677632634,0.3461731958886877,0.07118770058799356,0.022890312723203212,3.623099963705971,True,nan,nan,0.6924194999955944,nan,0.0,2.851639428347734e-05
informative,stationary,0.03,0.05,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3310789704769684757,6539095117749372701,13927427359616779177,s7cc1:20260908:0:1:truth,s7cc1:20260908:0:1:bearing_noise,s7cc1:20260908:0:1:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.38135910119925814,0.5254313034340904,0.1598381507846038,0.1598381507846038,0.5364953830026032,0.1598381507846038,5.970814507674531,True,nan,nan,0.030684600005770335,nan,1.734723475976807e-18,3.7791091702341444e-05
informative,stationary,0.03,0.05,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3310789704769684757,6539095117749372701,13927427359616779177,s7cc1:20260908:0:1:truth,s7cc1:20260908:0:1:bearing_noise,s7cc1:20260908:0:1:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.07118770058799356,0.07118770058799356,0.022890312723203212,0.022890312723203212,0.07118770058799356,0.022890312723203212,3.623099963705971,True,nan,nan,0.06466530000034254,nan,0.0,2.851639428347734e-05
informative,stationary,0.03,0.05,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16337352868866274998,4070790506237779699,43910568661047239,s7cc1:20260908:0:2:truth,s7cc1:20260908:0:2:bearing_noise,s7cc1:20260908:0:2:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.045674284029623716,0.06663830389916522,0.042495396713708694,0.07073780587615204,0.03322245316318526,0.0038595634891202624,4.731294492281505,True,2.4520947139579112,1.0,0.03901400000540889,0.0005703444447943992,0.0,2.89928856368208e-05
informative,stationary,0.03,0.05,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16337352868866274998,4070790506237779699,43910568661047239,s7cc1:20260908:0:2:truth,s7cc1:20260908:0:2:bearing_noise,s7cc1:20260908:0:2:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.11606711867428617,0.27597498520490127,0.19513147688939803,0.447137969650694,0.03322020081664222,0.003877666874332703,4.729816173163597,True,nan,nan,0.654563700005383,nan,0.0,2.8996022845169812e-05
