geometry,profile,method,is_causal,evaluation_time_s,independent_sequence_count,valid_count,invalid_count,valid_fraction,valid_fraction_ci95_low,valid_fraction_ci95_high,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,failure_reason_counts,conditional_position_rmse_m,conditional_position_p95_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_metric_valid_denominator,total_sequence_denominator,conditional_state_95_coverage_fraction,conditional_state_95_coverage_ci95_low,conditional_state_95_coverage_ci95_high,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,state_95_covered_count,p95_method,independent_unit,mean_state_nees,state_nees_p95,state_nees_dof,pre_update_nis_defined_count,pre_update_nis_undefined_count,mean_pre_update_nis,pre_update_nis_p95,pre_update_nis_95_coverage_fraction,pre_update_nis_dof,nis_samples_within_sequence_are_dependent,mean_total_runtime_s,mean_measurement_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,median_covariance_condition_number,maximum_covariance_condition_number,maximum_available_timestamp_used_s,epochs_within_sequence_are_dependent,profiles_within_base_block_are_paired,observation_model_is_gaussian,mean_potential_event_count,minimum_potential_event_count,maximum_potential_event_count,mean_profile_delivered_event_count,minimum_profile_delivered_event_count,maximum_profile_delivered_event_count,mean_profile_lost_event_count,minimum_profile_lost_event_count,maximum_profile_lost_event_count,mean_causally_available_event_count,minimum_causally_available_event_count,maximum_causally_available_event_count,mean_method_used_event_count,minimum_method_used_event_count,maximum_method_used_event_count,mean_method_initialization_event_count,minimum_method_initialization_event_count,maximum_method_initialization_event_count,mean_method_update_event_count,minimum_method_update_event_count,maximum_method_update_event_count,mean_method_rejected_event_count,minimum_method_rejected_event_count,maximum_method_rejected_event_count,mean_stream_quarantined_event_count,minimum_stream_quarantined_event_count,maximum_stream_quarantined_event_count,mean_method_remaining_unprocessed_available_count,minimum_method_remaining_unprocessed_available_count,maximum_method_remaining_unprocessed_available_count
informative,all_station_gap,causal_prefix_batch,True,0.0,100,0,100,0.0,0.0,0.03699349820698568,0,0.0,0.0,0.03699349820698568,"{""insufficient_measurements"": 100}",nan,nan,nan,nan,0,100,nan,nan,nan,0.0,0.0,0.03699349820698568,0,linear,whole_base_sequence,nan,nan,6,0,0,nan,nan,nan,2,True,4.540599911706522e-05,0.0,nan,nan,nan,nan,nan,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,0.5,100,0,100,0.0,0.0,0.03699349820698568,0,0.0,0.0,0.03699349820698568,"{""insufficient_measurements"": 100}",nan,nan,nan,nan,0,100,nan,nan,nan,0.0,0.0,0.03699349820698568,0,linear,whole_base_sequence,nan,nan,6,0,0,nan,nan,nan,2,True,3.442199958954006e-05,0.0,nan,nan,nan,nan,nan,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,1.0,100,11,89,0.11,0.06254196357064568,0.18631296503080313,11,0.11,0.06254196357064568,0.18631296503080313,"{""insufficient_measurements"": 89}",5.01018644396092,6.973360070392557,10.357899776019337,14.936422463112278,11,100,1.0,0.7411670330319684,1.0,0.11,0.06254196357064568,0.18631296503080313,11,linear,whole_base_sequence,5.2943709493015145,10.699772305639978,6,0,0,nan,nan,nan,2,True,0.002520626000186894,0.0,0.0,0.06645535488864034,3019.3587910002457,4510.252227945805,0.9967749566603704,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,1.73,0,3,1.73,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,1.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},13.303255718567607,27.419159816265687,13.947731617756364,28.87590205445891,100,100,0.95,0.8882495307680808,0.9784563208456319,0.95,0.8882495307680808,0.9784563208456319,95,linear,whole_base_sequence,5.934861291024157,12.541280053852425,6,0,0,nan,nan,nan,2,True,0.029650406001892407,0.0,0.0,0.04071550337288358,6849.39347805133,17550.48158077679,1.4913231439540178,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,3.26,3,4,3.26,3,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,10.0,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6509661498325422,1.1246179318678386,0.09404570850366117,0.16451935197124712,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,5.776777269882868,11.28088440874777,6,0,0,nan,nan,nan,2,True,0.17419324900052743,0.0,0.0,0.00032139848341994207,1006.0028815203772,1430.1375370970566,9.997820068562422,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,19.66,19,20,19.66,19,20,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,10.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6691405924944809,1.074214165335848,0.0898484606094738,0.14367193223826133,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,5.948004242370248,11.67982613005546,6,0,0,nan,nan,nan,2,True,0.18293634200002998,0.0,0.0,0.00028473399176136136,1140.551893272984,1523.115797123657,10.498689429034023,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,21.03,20,22,21.03,20,22,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,11.0,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6544070167333502,1.2255063430625512,0.08569060453147578,0.14099503282264636,100,100,0.93,0.8625048526092651,0.9656807389327273,0.93,0.8625048526092651,0.9656807389327273,93,linear,whole_base_sequence,6.089176185050283,13.03918162847725,6,0,0,nan,nan,nan,2,True,0.19915191000007326,0.0,0.0,0.00025311342807651544,1152.4517699041533,1484.3257574526594,10.914528266618438,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,23.0,23,23,23.0,23,23,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,11.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6574435144779793,1.186268074554909,0.08102761601675965,0.13576907177214062,100,100,0.94,0.8752318455410406,0.9722138760368118,0.94,0.8752318455410406,0.9722138760368118,94,linear,whole_base_sequence,6.173031553090758,13.027492480683748,6,0,0,nan,nan,nan,2,True,0.21691708899947115,0.0,0.0,0.0002261825539559116,1267.2714196257746,1619.5047098193502,11.491029988443925,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,25.23,24,26,25.23,24,26,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,12.0,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6841494711167012,1.1838737231734808,0.07965703960230633,0.1357104382881312,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,96,linear,whole_base_sequence,6.224978177763652,12.003549404572638,6,0,0,nan,nan,nan,2,True,0.22375382499856641,0.0,0.0,0.0002030565306341058,1378.7087193195916,1713.2331140341535,11.99510352738712,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,26.5,26,28,26.5,26,28,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6731934329872957,1.1943608344340009,0.07553785234275055,0.13447269916600815,100,100,0.9,0.8256343384950865,0.9447708629393249,0.9,0.8256343384950865,0.9447708629393249,90,linear,whole_base_sequence,6.4717580039659754,13.710067540077516,6,0,0,nan,nan,nan,2,True,0.2518627510013175,0.0,0.0,0.00018318676327987206,1427.4652673319656,1825.9676226531496,12.495613482491581,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,28.95,28,29,28.95,28,29,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
