geometry,geometry_index,sequence_index,base_seed,independent_unit,profile_run_count_per_block,profiles_are_paired,seed_scheme,truth_provenance,truth_seed,nominal_bearing_noise_provenance,nominal_bearing_noise_seed,transport_loss_uniform_provenance,transport_loss_uniform_seed,transport_delay_uniform_provenance,transport_delay_uniform_seed,outlier_mask_uniform_provenance,outlier_mask_uniform_seed,outlier_direction_provenance,outlier_direction_seed
informative,0,0,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:0:truth,16851200148011116536,s7cd1:20260910:0:0:nominal_bearing_noise,13836873569461146076,s7cd1:20260910:0:0:transport_loss_uniform,13213395061692411087,s7cd1:20260910:0:0:transport_delay_uniform,11349404180243611701,s7cd1:20260910:0:0:outlier_mask_uniform,15358284627873340791,s7cd1:20260910:0:0:outlier_direction,16038766168629232954
informative,0,1,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:1:truth,17659467774097097538,s7cd1:20260910:0:1:nominal_bearing_noise,1154650693607207060,s7cd1:20260910:0:1:transport_loss_uniform,17731694898449738289,s7cd1:20260910:0:1:transport_delay_uniform,894539375676034626,s7cd1:20260910:0:1:outlier_mask_uniform,11425528666294240055,s7cd1:20260910:0:1:outlier_direction,15445734074582139170
informative,0,2,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:2:truth,8916804711757041926,s7cd1:20260910:0:2:nominal_bearing_noise,3864953144984530293,s7cd1:20260910:0:2:transport_loss_uniform,6822425392884643856,s7cd1:20260910:0:2:transport_delay_uniform,15039544207543788971,s7cd1:20260910:0:2:outlier_mask_uniform,9457170636657159655,s7cd1:20260910:0:2:outlier_direction,14627037364398405977
informative,0,3,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:3:truth,1204967711474042249,s7cd1:20260910:0:3:nominal_bearing_noise,13519775271209492728,s7cd1:20260910:0:3:transport_loss_uniform,13936685080650698799,s7cd1:20260910:0:3:transport_delay_uniform,3662573302992108806,s7cd1:20260910:0:3:outlier_mask_uniform,2966541863971573600,s7cd1:20260910:0:3:outlier_direction,4331834381167608593
informative,0,4,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:4:truth,12220486731809753978,s7cd1:20260910:0:4:nominal_bearing_noise,3972636056098306547,s7cd1:20260910:0:4:transport_loss_uniform,3037745403183338989,s7cd1:20260910:0:4:transport_delay_uniform,11117665566817039449,s7cd1:20260910:0:4:outlier_mask_uniform,13439582007891964865,s7cd1:20260910:0:4:outlier_direction,16089281140450682607
informative,0,5,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:5:truth,11947894513031007826,s7cd1:20260910:0:5:nominal_bearing_noise,6007285446241827687,s7cd1:20260910:0:5:transport_loss_uniform,2171215521642524717,s7cd1:20260910:0:5:transport_delay_uniform,7939878608151018129,s7cd1:20260910:0:5:outlier_mask_uniform,4808076450857790109,s7cd1:20260910:0:5:outlier_direction,5428199471653268287
informative,0,6,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:6:truth,11353540435426825754,s7cd1:20260910:0:6:nominal_bearing_noise,18066138880670740274,s7cd1:20260910:0:6:transport_loss_uniform,11526304121087575009,s7cd1:20260910:0:6:transport_delay_uniform,11651457616514850618,s7cd1:20260910:0:6:outlier_mask_uniform,6751630202292237713,s7cd1:20260910:0:6:outlier_direction,1845663441615499488
informative,0,7,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:7:truth,8880216562439944714,s7cd1:20260910:0:7:nominal_bearing_noise,4991910727293412744,s7cd1:20260910:0:7:transport_loss_uniform,12517893423309975986,s7cd1:20260910:0:7:transport_delay_uniform,12055097798466865219,s7cd1:20260910:0:7:outlier_mask_uniform,275598422486962291,s7cd1:20260910:0:7:outlier_direction,10788958833420956060
informative,0,8,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:8:truth,12976370259762173290,s7cd1:20260910:0:8:nominal_bearing_noise,5385101657569152118,s7cd1:20260910:0:8:transport_loss_uniform,2145398133647220111,s7cd1:20260910:0:8:transport_delay_uniform,5893923253618449944,s7cd1:20260910:0:8:outlier_mask_uniform,14193125546987745927,s7cd1:20260910:0:8:outlier_direction,14729722323245728124
informative,0,9,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:9:truth,18029417263550496514,s7cd1:20260910:0:9:nominal_bearing_noise,10781458663985279781,s7cd1:20260910:0:9:transport_loss_uniform,4186630381289596673,s7cd1:20260910:0:9:transport_delay_uniform,5949320510713333951,s7cd1:20260910:0:9:outlier_mask_uniform,13496117090729017031,s7cd1:20260910:0:9:outlier_direction,9930983068306845548
