split,station_id,estimator_variant,pooling_rule,physical_configuration_count,included_trajectory_kinds_json,included_snr_db_json,dependent_frame_count,successful_frame_count,bias_az_arc_rad,bias_el_arc_rad,covariance_00_rad2,covariance_01_rad2,covariance_11_rad2,eigenvalue_min_rad2,eigenvalue_max_rad2,condition_number,temporal_lag1_az,temporal_lag1_el,maximum_absolute_interstation_correlation,evaluation_used_for_calibration,filter_assumes_measurement_independence,source_model_comparison,independent_source_session_count,dependent_calibration_sequence_count,calibration_recording_ids_json,calibration_session_ids_json,calibration_selection_keys,truth_scenario_used_for_calibration_selection,result_scope
calibration,S0,all_6_equal_gcc_wls,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,-0.00533130325836109,0.1316190046977246,0.3351233953251377,-0.000594009595591022,0.225650348945763,0.22564712589658992,0.3351266183743108,1.4851800883468527,0.1332898161046118,0.17177212163010583,0.20150828152320174,False,True,recorded_source_approximation,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S0,equal_weight_srp_phat,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,-0.0015645755009589509,0.16929340857931055,0.1947985492312188,-0.005251226494699721,0.21474425984725845,0.19350050294738114,0.21604230613109612,1.1164948040979759,0.20519849453962702,0.2594577901388661,0.4347564539091091,False,True,recorded_source_approximation,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S1,all_6_equal_gcc_wls,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,0.004003529912180479,0.09405384955106548,0.27444006745603544,-0.011963242453938793,0.22502409850279892,0.22228024029247662,0.27718392566635774,1.2470020965500073,0.12077146781888315,0.18666908893504286,0.20150828152320174,False,True,recorded_source_approximation,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S1,equal_weight_srp_phat,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,0.005361462865092122,0.12512948281028322,0.14453879923831342,0.006241668013208801,0.1756661059131739,0.14333385917036773,0.17687104598111958,1.233979514713891,0.20550600856757767,0.23350598340277667,0.4347564539091091,False,True,recorded_source_approximation,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S2,all_6_equal_gcc_wls,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,0.023838155264547835,0.10974673823542144,0.31951239335790943,0.020616879043921107,0.21954569419747846,0.2154606524869435,0.3235974350684444,1.5018864527389928,0.12974771622109374,0.1459530641526962,0.20150828152320174,False,True,recorded_source_approximation,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S2,equal_weight_srp_phat,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,-0.010635348025813684,0.15311194682973484,0.16566004682878424,-0.023764390442191648,0.2047501827760955,0.15443571547155027,0.21597451413332946,1.3984751744366781,0.1447823550605268,0.24967806790999217,0.4347564539091091,False,True,recorded_source_approximation,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S0,all_6_equal_gcc_wls,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,6.163295548411152e-05,0.00018898622189341882,1.8365638599626956e-05,9.475805293145517e-08,1.877922724482994e-05,1.8344962087931894e-05,1.8799903756525e-05,1.0247992700345991,0.32819100705013793,0.3077472797634272,0.04725703309099775,False,True,random_broadband,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S0,equal_weight_srp_phat,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,7.001028996185477e-05,0.00019418973233520015,1.8171603386807928e-05,2.356913050527576e-08,1.866654413590524e-05,1.817048355601449e-05,1.866766396669868e-05,1.0273619801669847,0.3293874018495154,0.30753636707441506,0.04878770115923526,False,True,random_broadband,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S1,all_6_equal_gcc_wls,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,-0.0004783807428520896,-0.00020968199606032125,1.5517755306725137e-05,7.43481918630883e-07,1.67024390339542e-05,1.515950038582933e-05,1.7060693954850008e-05,1.1254126798794675,0.32391553676124946,0.32502850402198846,0.04725703309099775,False,True,random_broadband,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
calibration,S1,equal_weight_srp_phat,unweighted_valid_frames_from_all_predeclared_calibration_scenarios,4,"[""constant_velocity""]","[-6.0, 10.0]",1680,1680,-0.0004610155370310985,-0.00021312128073339368,1.547103445055231e-05,7.564947138912596e-07,1.6625498777869675e-05,1.5096698843157607e-05,1.6999834385264377e-05,1.1260630262204205,0.3216927384549994,0.3264764162332418,0.04878770115923526,False,True,random_broadband,2,4,"[""freesound-683298-sadiquecat-mavic-mini-2"", ""freesound-263022-alcappuccino-phantom-2""]","[""alcappuccino-phantom-2-gopro-takeoff-landing"", ""sadiquecat-mavic-mini-2-indoor-zoom-h5""]",station_id|estimator_variant|source_model,False,held_out_independent_recording_tracking_feasibility
