split,paired_recording_id,paired_session_id,snr_db,source_model_comparison,sequence_seed,source_seed,noise_seeds_json,same_standardized_noise_with_pair,duration_s,frame_length_samples,hop_length_samples,audio_synthesis_wall_runtime_s,bearing_frontend_wall_runtime_s,audio_pipeline_wall_runtime_s
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,-6.0,recorded_source_approximation,6555131340107746781,17077095777723825450,"[13566427774394046689, 8435928236040968186, 4210403484674891623]",True,4.5,1024,512,50.10876160001499,10.568414400040638,60.679601700016065
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,-6.0,random_broadband,6555131340107746781,17077095777723825450,"[13566427774394046689, 8435928236040968186, 4210403484674891623]",True,4.5,1024,512,51.255346399964765,10.2255395000102,61.483380699995905
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,10.0,recorded_source_approximation,11045319167482910921,4841012727369954092,"[11099964629804307082, 13338895266061041948, 5815072394629902009]",True,4.5,1024,512,52.559723899990786,10.278359099989757,62.84034870000323
calibration,freesound-683298-sadiquecat-mavic-mini-2,sadiquecat-mavic-mini-2-indoor-zoom-h5,10.0,random_broadband,11045319167482910921,4841012727369954092,"[11099964629804307082, 13338895266061041948, 5815072394629902009]",True,4.5,1024,512,53.69202860002406,10.260301899979822,63.95445950003341
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,-6.0,recorded_source_approximation,10916223062156552982,14774737846547331662,"[8428799827167982166, 12151413074658337216, 12504360680182836532]",True,4.5,1024,512,50.575550300010946,10.445038100006059,61.023067700036336
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,-6.0,random_broadband,10916223062156552982,14774737846547331662,"[8428799827167982166, 12151413074658337216, 12504360680182836532]",True,4.5,1024,512,50.315206500003114,10.169873200007714,60.4873060999671
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,10.0,recorded_source_approximation,5191144776647754871,13576817827752466765,"[4570868117763124054, 5644425965309070727, 14375934859118066673]",True,4.5,1024,512,50.30525909998687,10.402078500017524,60.70972980000079
calibration,freesound-263022-alcappuccino-phantom-2,alcappuccino-phantom-2-gopro-takeoff-landing,10.0,random_broadband,5191144776647754871,13576817827752466765,"[4570868117763124054, 5644425965309070727, 14375934859118066673]",True,4.5,1024,512,51.10952409997117,10.210558499966282,61.32220599998254
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,-6.0,recorded_source_approximation,7051807767926021858,6286829343036515259,"[2724290195596798156, 5383323246083519836, 9583430613951142220]",True,4.5,1024,512,50.51506429997971,10.29178149998188,60.809117399971
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,-6.0,random_broadband,7051807767926021858,6286829343036515259,"[2724290195596798156, 5383323246083519836, 9583430613951142220]",True,4.5,1024,512,50.15725340001518,10.14915590005694,60.30853730003582
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,10.0,recorded_source_approximation,14189773874213735854,10937270169711799083,"[329633322743765558, 9356444614530716105, 12237447410803886884]",True,4.5,1024,512,50.12513090000721,10.534427599981427,60.66177109995624
evaluation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,10.0,random_broadband,14189773874213735854,10937270169711799083,"[329633322743765558, 9356444614530716105, 12237447410803886884]",True,4.5,1024,512,55.81184999999823,10.137753399962094,65.95183789997827
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,-6.0,recorded_source_approximation,18090356658712458261,17340541220944555438,"[13030909411621558029, 13100543118138504742, 15273557278471321997]",True,4.5,1024,512,49.896330799965654,10.297563000000082,60.19622309994884
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,-6.0,random_broadband,18090356658712458261,17340541220944555438,"[13030909411621558029, 13100543118138504742, 15273557278471321997]",True,4.5,1024,512,51.33785270003136,12.47751729999436,63.81775350001408
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,10.0,recorded_source_approximation,1831001451585685072,5622486086421503578,"[6082831031110447036, 15657013989643068298, 1521474001948190872]",True,4.5,1024,512,49.89247910003178,10.180669500026852,60.075539399986155
evaluation,freesound-321687-n-audioman-drone-takeoff,n-audioman-quadcopter-takeoff-hover-distance,10.0,random_broadband,1831001451585685072,5622486086421503578,"[6082831031110447036, 15657013989643068298, 1521474001948190872]",True,4.5,1024,512,50.44019120000303,10.380425500043202,60.82294990000082
