split,paired_session_id,source_model_comparison,snr_db,estimator_variant,independent_source_session_trial,dependent_publication_count,time_basis,measured_span_start_s,measured_span_stop_s,measured_span_duration_s,confirmed_time_fraction,available_estimate_time_fraction,coverage_given_available_time,available_and_covered_time_fraction,missing_estimate_is_zero_error
evaluation,n-audioman-quadcopter-takeoff-hover-distance,random_broadband,-6.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.0,0.0,nan,0.0,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,random_broadband,-6.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.0,0.0,nan,0.0,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,random_broadband,10.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,random_broadband,10.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,recorded_source_approximation,-6.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,recorded_source_approximation,-6.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,recorded_source_approximation,10.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,n-audioman-quadcopter-takeoff-hover-distance,recorded_source_approximation,10.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,random_broadband,-6.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,0.992781520692974,0.5,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,random_broadband,-6.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,0.992781520692974,0.5,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,random_broadband,10.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,random_broadband,10.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.5036354823073195,0.5036354823073195,1.0,0.5036354823073195,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,recorded_source_approximation,-6.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.0,0.0,nan,0.0,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,recorded_source_approximation,-6.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.0,0.0,nan,0.0,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,recorded_source_approximation,10.0,all_6_equal_gcc_wls,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.0,0.0,nan,0.0,False
evaluation,simeonradivoev-mini-quadcopter-raw-speed-takes,recorded_source_approximation,10.0,equal_weight_srp_phat,True,21,zero_order_hold_between_consecutive_available_publications,0.5313125,4.6573125,4.1259999999999994,0.0,0.0,nan,0.0,False
