geometry,profile,method,is_causal,evaluation_time_s,independent_sequence_count,valid_count,invalid_count,valid_fraction,valid_fraction_ci95_low,valid_fraction_ci95_high,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,failure_reason_counts,conditional_position_rmse_m,conditional_position_p95_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_metric_valid_denominator,total_sequence_denominator,conditional_state_95_coverage_fraction,conditional_state_95_coverage_ci95_low,conditional_state_95_coverage_ci95_high,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,state_95_covered_count,p95_method,independent_unit,mean_state_nees,state_nees_p95,state_nees_dof,pre_update_nis_defined_count,pre_update_nis_undefined_count,mean_pre_update_nis,pre_update_nis_p95,pre_update_nis_95_coverage_fraction,pre_update_nis_dof,nis_samples_within_sequence_are_dependent,mean_total_runtime_s,mean_measurement_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,median_covariance_condition_number,maximum_covariance_condition_number,maximum_available_timestamp_used_s,epochs_within_sequence_are_dependent,profiles_within_base_block_are_paired,observation_model_is_gaussian,mean_potential_event_count,minimum_potential_event_count,maximum_potential_event_count,mean_profile_delivered_event_count,minimum_profile_delivered_event_count,maximum_profile_delivered_event_count,mean_profile_lost_event_count,minimum_profile_lost_event_count,maximum_profile_lost_event_count,mean_causally_available_event_count,minimum_causally_available_event_count,maximum_causally_available_event_count,mean_method_used_event_count,minimum_method_used_event_count,maximum_method_used_event_count,mean_method_initialization_event_count,minimum_method_initialization_event_count,maximum_method_initialization_event_count,mean_method_update_event_count,minimum_method_update_event_count,maximum_method_update_event_count,mean_method_rejected_event_count,minimum_method_rejected_event_count,maximum_method_rejected_event_count,mean_stream_quarantined_event_count,minimum_stream_quarantined_event_count,maximum_stream_quarantined_event_count,mean_method_remaining_unprocessed_available_count,minimum_method_remaining_unprocessed_available_count,maximum_method_remaining_unprocessed_available_count
informative,all_station_gap,causal_prefix_batch,True,0.0,2,0,2,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,"{""insufficient_measurements"": 2}",nan,nan,nan,nan,0,2,nan,nan,nan,0.0,0.0,0.6576197724933469,0,linear,whole_base_sequence,nan,nan,6,0,0,nan,nan,nan,2,True,3.569999535102397e-05,0.0,nan,nan,nan,nan,nan,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,0.5,2,0,2,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,"{""insufficient_measurements"": 2}",nan,nan,nan,nan,0,2,nan,nan,nan,0.0,0.0,0.6576197724933469,0,linear,whole_base_sequence,nan,nan,6,0,0,nan,nan,nan,2,True,2.8800001018680632e-05,0.0,nan,nan,nan,nan,nan,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,1.0,2,1,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,"{""insufficient_measurements"": 1}",1.7126128089279982,1.7126128089279982,4.529606349885589,4.529606349885589,1,2,1.0,0.20654931437723745,1.0,0.5,0.09453120573423074,0.9054687942657693,1,linear,whole_base_sequence,1.4422874474701983,1.4422874474701983,6,0,0,nan,nan,nan,2,True,0.012517149996710941,0.0,0.0,0.07132272688098952,2624.472583233586,2624.472583233586,0.9408566648613441,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,2.5,2,3,2.5,2,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,1.5,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},4.669770438607525,5.217547707512253,4.757222306500143,4.952192697861562,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,3.3601542798077317,5.0862344289116095,6,0,0,nan,nan,nan,2,True,0.01950100000249222,0.0,0.0,0.04536038227657214,6750.443945637491,6975.719522019471,1.2000124660892886,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,3.0,3,3,3.0,3,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,10.0,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.9894278045452161,1.0859310494087695,0.14576742434533008,0.16550329058957208,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,6.138240645003112,7.3668714869642695,6,0,0,nan,nan,nan,2,True,0.1584008000063477,0.0,0.0,0.00035929371335081527,1159.224822701688,1185.7394202829994,9.670899249589615,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,19.0,19,19,19.0,19,19,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,10.5,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.8506146039618574,0.891161118174569,0.1214732592628285,0.12467510077882903,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,5.8274161354284715,6.574029327259486,6,0,0,nan,nan,nan,2,True,0.17465964998700656,0.0,0.0,0.0003180930208825253,1090.8509509517576,1110.9439008791555,10.463239363147233,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,21.0,21,21,21.0,21,21,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,11.0,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.7569019873225052,0.9145533201427034,0.10844525571488708,0.13090822809819408,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,6.337073435350344,7.95463304261633,6,0,0,nan,nan,nan,2,True,0.1913036500045564,0.0,0.0,0.00028313153447180015,1143.066468829539,1160.6996869826332,10.828002937431222,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,23.0,23,23,23.0,23,23,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,11.5,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.6637657777564753,0.8774005890760995,0.09190022561238857,0.12023970793146763,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,5.075345219184994,7.695281572259514,6,0,0,nan,nan,nan,2,True,0.20595200000389013,0.0,0.0,0.0002528982250415233,1312.774709594869,1343.5562143573434,11.362322374391251,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,24.5,24,25,24.5,24,25,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,12.0,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.5951079489131528,0.7611278180332769,0.07959313203206707,0.10508564814496409,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,4.29541639901694,6.155094870625809,6,0,0,nan,nan,nan,2,True,0.2013563999935286,0.0,0.0,0.0002269156194552266,1325.518626273205,1336.893291255769,11.83006655804374,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,27.0,27,27,27.0,27,27,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,12.5,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.7209229081466808,0.9398529622532618,0.0897243629568402,0.11794783081433506,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,4.837591253675236,7.458077079927701,6,0,0,nan,nan,nan,2,True,0.19022175001737196,0.0,0.0,0.00020453221106251653,1505.1021271004838,1576.965788301656,12.31286511220431,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,28.5,28,29,28.5,28,29,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,14.5,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},0.8823417658584576,1.168594856463629,0.08918106957952802,0.11779575093162607,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,4.779594162407049,7.452277370736264,6,0,0,nan,nan,nan,2,True,0.20404145000793505,0.0,0.0,0.00013974251391714174,2976.4240958890587,3007.636228126596,12.514118335958992,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,29.0,29,29,29.0,29,29,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
informative,all_station_gap,causal_prefix_batch,True,2.0,2,2,0,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,{},1.4464291118504922,1.7357749528310988,1.1528951759937551,1.287338215752432,2,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,2,linear,whole_base_sequence,4.192931290518361,4.540707262936726,6,0,0,nan,nan,nan,2,True,0.033890899998368695,0.0,0.0,0.02171206531881701,187.49938896378492,187.8161504043717,1.863447742681687,True,True,True,45.0,45,45,29.0,29,29,16.0,16,16,5.0,5,5,5.0,5,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
