study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,invalid_fraction,boundary_hit_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,mean_runtime_per_estimate_s,median_runtime_per_estimate_s,p95_runtime_per_estimate_s,metric_conditioning,equal_pair_weights,gcc_confidence_used_by_srp
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,reference_3,500,1000,3410477281,1787873625,1787873625,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,-3.7171618945371905,11.567503002695563,14.66808885675373,42.166412369048395,11.488315672756707,90.09826072844245,108.44837022894933,157.84538979296255,108.44837022894933,157.84538979296255,0.832,0.689,0.343,1.0,0.0,0.0,0.053,0.0,0.343,0.003162802501115948,0.0031439499580301344,0.004184105072636157,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,3410477281,1787873625,1787873625,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,-3.2178885024074484,19.87945513742839,21.350585973137374,36.98552565939547,19.634625459861045,75.69335077541763,91.01996091121661,99.01540577679457,91.01996091121661,99.01540577679457,0.856,0.747,0.403,1.0,0.0,0.0,0.053,0.0,0.403,0.003166824800777249,0.0031351500656455755,0.004164719930849969,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,3410477281,1787873625,1787873625,all_6_calibrated_gcc_wls,not_applicable,True,977,23,0.977,2.385375099052633,0.4039627809883456,0.8802667499761387,23.574132755468618,10.33807921600725,47.982303111837616,79.03471497121583,118.57555034718337,79.03471497121583,118.57555034718337,0.9928352098259979,0.9682702149437052,0.15967246673490276,0.977,0.02300000000000002,0.0,0.053,0.023,0.15967246673490276,0.003520503202569671,0.0035098500084131956,0.004613134963437913,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,3410477281,1787873625,1787873625,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.4351096194214354,-0.2649084201776878,0.3581303664471389,9.403378402318886,5.978327703673719,11.299101743639188,20.47512791243796,98.13527141411464,20.47512791243796,98.13527141411464,0.575,0.313,0.006,1.0,0.0,0.0,0.244,0.0,0.006,0.006980354400700889,0.00669304997427389,0.010173030028818173,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,reference_3,500,1000,637050316,628751962,628751962,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,-1.0641956290423253,3.741178116058311,4.200097025689664,26.63878203213499,7.592461780970996,77.74053801123753,90.82105867042685,111.00543555162012,90.82105867042685,111.00543555162012,0.646,0.45,0.126,1.0,0.0,0.0,0.02,0.0,0.126,0.0031638477998785675,0.003133400052320212,0.004263165092561394,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,637050316,628751962,628751962,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,-1.2188948192101097,7.848460872225192,7.70717603594975,22.908837102820563,7.490000693766026,56.39728590081259,73.08796813283104,82.43238459985645,73.08796813283104,82.43238459985645,0.607,0.445,0.167,1.0,0.0,0.0,0.02,0.0,0.167,0.003179422801709734,0.0031157000339590013,0.004256825038464739,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,637050316,628751962,628751962,all_6_calibrated_gcc_wls,not_applicable,True,980,20,0.98,0.28690101785062216,-6.047601221123178,6.370548756248281,15.138624948442654,10.050460163607854,30.552117313266844,55.57304462245663,74.14096051580259,55.57304462245663,74.14096051580259,0.9816326530612245,0.9724489795918367,0.05204081632653061,0.98,0.020000000000000018,0.0,0.02,0.02,0.05204081632653061,0.003552760796272196,0.0035803000209853053,0.004654824937460944,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,637050316,628751962,628751962,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.08810826686063433,-0.9567475403240738,0.9566102151992542,6.023960373718188,4.212901314127639,10.072991156786493,10.294867391590582,13.166804235302834,10.294867391590582,13.166804235302834,0.426,0.209,0.0,1.0,0.0,0.0,0.197,0.0,0.0,0.007172986997873523,0.006882350018713623,0.010340320138493552,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,reference_3,500,1000,3371153956,3211452428,3211452428,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.16969645599162667,0.1691190502052148,0.32229644252286577,9.157088101063772,4.218798480909648,10.147473186911299,39.67630194433134,81.06655735675373,39.67630194433134,81.06655735675373,0.423,0.189,0.013,1.0,0.0,0.0,0.006,0.0,0.013,0.0031780773029895498,0.003125299990642816,0.004176954907597973,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3371153956,3211452428,3211452428,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.03624919799645655,0.487286058854375,0.4637665030151092,8.049990400960045,3.251110882777578,10.081897635887985,41.969161142082115,66.50394534792852,41.969161142082115,66.50394534792852,0.293,0.143,0.017,1.0,0.0,0.0,0.006,0.0,0.017,0.003186371599556878,0.003136899962555617,0.004157314990879968,successful_trials_only,False,False
