study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,exact_reference_trials_per_configuration,exact_reference_sampling_scope,exact_fast_disagreement_covers_all_evaluation_trials,runtime_component,runtime_sample_count,exact_reference_trial_count,exact_fast_disagreement_trial_count,exact_fast_disagreement_scope,mean_exact_fast_disagreement_deg,max_exact_fast_disagreement_deg,mean_runtime_s,median_runtime_s,p95_runtime_s
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,3410477281,1787873625,1787873625,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017784932018257678,0.0016338000423274934,0.0025337149738334118
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,3410477281,1787873625,1787873625,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.0052018611988751216,0.00501980003900826,0.008131559984758495
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,3410477281,1787873625,1787873625,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.005394771332198352,0.011997847745321403,0.20771953335497528,0.212111399974674,0.2127398700453341
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,637050316,628751962,628751962,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017929895002162083,0.0016268499894067645,0.0025336699676699933
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,637050316,628751962,628751962,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005379997497657314,0.005197899939958006,0.00823572995723225
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,637050316,628751962,628751962,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.004120099627776153,0.007493707140361064,0.2528374000297238,0.2555602000793442,0.25828999001532793
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3371153956,3211452428,3211452428,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017735548005439342,0.0016277499962598085,0.0025395150121767076
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3371153956,3211452428,3211452428,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005603421397972852,0.00529690005350858,0.00859474500757642
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3371153956,3211452428,3211452428,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0047372440119985045,0.005825404076994295,0.2512148666040351,0.26038329990115017,0.2717044899822213
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,2122281893,590038321,590038321,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017976227008039132,0.0016283999430015683,0.0025667499867267907
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,2122281893,590038321,590038321,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.0057341935988515615,0.005530149966944009,0.008160280081210659
