split,station_id,estimator_variant,trajectory_kind,snr_db,independent_sequence_count,dependent_frame_count,successful_frame_count,bias_az_arc_rad,bias_el_arc_rad,covariance_00_rad2,covariance_01_rad2,covariance_11_rad2,eigenvalue_min_rad2,eigenvalue_max_rad2,condition_number,temporal_lag1_az,temporal_lag1_el,maximum_absolute_interstation_correlation,evaluation_used_for_calibration,filter_assumes_measurement_independence
calibration,S0,all_6_equal_gcc_wls,constant_velocity,-6.0,1,186,186,0.0005411194396838877,0.00037235594039254226,3.18928775899417e-05,-3.71364488439038e-06,3.643894070923362e-05,2.9811850032108276e-05,3.8519968267067045e-05,1.2921025775179957,0.35564027391185987,0.2710246121138938,0.202431038275459,False,True
calibration,S0,equal_weight_srp_phat,constant_velocity,-6.0,1,186,186,0.0005665808628868638,0.0003890353281679734,3.16327792028063e-05,-3.2380494209155726e-06,3.719293060561511e-05,3.0145093786501457e-05,3.868061602191995e-05,1.2831479741237555,0.34379870709896826,0.25264333296975267,0.16884842165281227,False,True
calibration,S1,all_6_equal_gcc_wls,constant_velocity,-6.0,1,186,186,-0.000479314367431338,0.0007559022324211298,4.0183479008703116e-05,-1.3755266111165514e-06,3.827383141125363e-05,3.755421143830345e-05,4.0903098981653296e-05,1.0891747533789018,0.3970277493497007,0.39759779027733494,0.202431038275459,False,True
calibration,S1,equal_weight_srp_phat,constant_velocity,-6.0,1,186,186,-0.0004066195711973283,0.0007437386831555386,3.97665736649224e-05,-8.083155518447724e-07,3.926728224592686e-05,3.867093917794306e-05,4.0362916732906205e-05,1.0437532056611702,0.4094724781533905,0.39736958510255194,0.16884842165281227,False,True
calibration,S2,all_6_equal_gcc_wls,constant_velocity,-6.0,1,186,186,0.00043192521195729226,0.0009170327544839529,3.506931291200689e-05,3.2817007347001403e-06,3.276452124211048e-05,3.0438760112150772e-05,3.73950740419666e-05,1.228534733484067,0.3115100026171812,0.3870001955838423,0.202431038275459,False,True
calibration,S2,equal_weight_srp_phat,constant_velocity,-6.0,1,186,186,0.00040194935018376043,0.0009404813337290859,3.52118388205731e-05,3.416866369957849e-06,3.2600956688385724e-05,3.024864541633611e-05,3.756415009262271e-05,1.2418456950913837,0.3218585218467255,0.38178847049123377,0.16884842165281227,False,True
calibration,S0,all_6_equal_gcc_wls,constant_velocity,10.0,1,186,186,5.940487680862262e-05,0.00017154632963580787,8.563486518110552e-07,-1.1044207708728885e-07,1.11504566186284e-06,8.156133888172216e-07,1.1557809248566735e-06,1.4170695830934714,0.27386072568605896,0.16576368406433475,0.14702821352114365,False,True
calibration,S0,equal_weight_srp_phat,constant_velocity,10.0,1,186,186,6.119352172547964e-05,0.00017545708857107797,8.544880224772064e-07,-1.1068586388851847e-07,1.1195065766381616e-06,8.143413729952331e-07,1.159653226120135e-06,1.4240382038490915,0.27678509166168047,0.1659754426691125,0.14718381881500692,False,True
calibration,S1,all_6_equal_gcc_wls,constant_velocity,10.0,1,186,186,-0.0003441505525702489,6.76987060421484e-05,9.037825541034119e-07,8.332057074710033e-09,7.79279411208778e-07,7.787242845837027e-07,9.043376807284872e-07,1.1613066378325878,0.33867699560023606,0.18480258276995704,0.14702821352114365,False,True
calibration,S1,equal_weight_srp_phat,constant_velocity,10.0,1,186,186,-0.0003404259989210143,6.749079308875441e-05,9.008520125136909e-07,1.2714068071014927e-08,7.790518286613485e-07,7.777388293322983e-07,9.021650118427411e-07,1.1599845318476187,0.3386194641394717,0.1834331956355019,0.14718381881500692,False,True
