estimator_variant,motion_phase,publication_phase_basis,update_phase_basis,confirmed_before_manoeuvre,accepted_update_count,rejected_update_count,update_attempt_count,correction_status,dependent_publication_count,valid_publication_count,valid_publication_fraction,position_rmse_m_conditional,position_p95_m_conditional,velocity_rmse_mps_conditional,coverage_conditional,valid_and_covered_fraction,final_time_since_last_accepted_update_s,maximum_time_since_last_accepted_update_s,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,5,4,9,measurement_correction_in_phase,18,7,0.3888888888888889,1.4484271302394462,1.8585258407587717,0.9809745613299586,0.42857142857142855,0.16666666666666666,0.0,0.0,0,0,12641758821041380052,constant_velocity,-6.0
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.4738582874462512,0.7139357449433565,0.8050238980304527,1.0,1.0,0.0,0.01499999999999968,0,0,12641758821041380052,constant_velocity,-6.0
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,11,1,12,measurement_correction_in_phase,15,15,1.0,0.9567570427927669,1.5082612344927304,0.9416698090190776,0.8666666666666667,0.8666666666666667,0.0,0.01499999999999968,0,0,12641758821041380052,constant_velocity,-6.0
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,5,4,9,measurement_correction_in_phase,18,7,0.3888888888888889,1.4009951625094788,1.7863905166421084,0.9275532800523687,0.42857142857142855,0.16666666666666666,0.0,0.0,0,0,12641758821041380052,constant_velocity,-6.0
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.48781332873585315,0.7111283228709268,0.817565056981288,1.0,1.0,0.0,0.01499999999999968,0,0,12641758821041380052,constant_velocity,-6.0
equal_weight_srp_phat,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,11,1,12,measurement_correction_in_phase,15,15,1.0,0.9757508271868008,1.5163292134472366,0.9524060892491313,0.8666666666666667,0.8666666666666667,0.0,0.01499999999999968,0,0,12641758821041380052,constant_velocity,-6.0
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.14343006085342033,0.17154470633839408,0.12217153816655403,1.0,0.5,0.0,0.0,1,0,15157416837968679840,constant_velocity,10.0
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.07832218207100171,0.10593632440839944,0.11592406435823864,1.0,1.0,0.0,0.0,1,0,15157416837968679840,constant_velocity,10.0
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,12,0,12,measurement_correction_in_phase,15,15,1.0,0.11085519648161762,0.16423445952529897,0.13187177560224692,1.0,1.0,0.0,0.0,1,0,15157416837968679840,constant_velocity,10.0
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.14329776618060996,0.1719472984346035,0.12190846196790806,1.0,0.5,0.0,0.0,1,0,15157416837968679840,constant_velocity,10.0
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.07871662401903869,0.10742807360220138,0.11594073644025406,1.0,1.0,0.0,0.0,1,0,15157416837968679840,constant_velocity,10.0
