split,configuration_index,sequence_index,sequence_seed,source_seed,noise_seeds_json
calibration,0,0,14511554217286796119,13081040871348262584,"[14861627815132139971, 11972894499262083360, 5662445091919768390]"
calibration,1,0,12498609427390869432,15005032702325782458,"[15833154194241414457, 14046053597854233420, 6134753937559727203]"
calibration,2,0,17861999711006886175,10123903879856200454,"[2511059942511135302, 12237652926066913743, 10815286187417756363]"
calibration,3,0,2021513010958068485,291213018024873541,"[6318968089121115476, 1110033234191071867, 15339749950122150933]"
calibration,4,0,15399774754092778447,16571611964362807233,"[9751293608621049320, 14658404892762586880, 14563522306479229315]"
calibration,5,0,16792320282984896419,16742927478664048321,"[10094611272917771664, 10882130217256697736, 9797478479108068676]"
evaluation,0,0,12641758821041380052,3617375949775248769,"[12159384277221667435, 892845295313553069, 12994540495741240435]"
evaluation,1,0,15157416837968679840,9915617982766446710,"[12590379291011254778, 18370673805058225901, 14779260990585477319]"
evaluation,2,0,11632203291840505919,11315165520724632601,"[9242332435839105307, 13718291925118835943, 15701002158203914596]"
evaluation,3,0,14822115595447997293,7054941610595218939,"[14112910057580217389, 14466505247147601393, 2216369087484480884]"
evaluation,4,0,13560838668908170685,7909024136310675009,"[15182848687661595037, 2374852975614561100, 11777887090231680574]"
evaluation,5,0,17588901136433106999,1181728587329197340,"[1993254570960719722, 13723358350989284466, 8873327966286523933]"
