estimator_variant,event_count,valid_measurement_count,initialization_event_count,accepted_update_count,rejected_update_count,rejected_event_count,first_confirmation_time_s,confirmed_before_manoeuvre,final_time_since_last_accepted_update_s,maximum_time_since_last_accepted_update_s,correction_status,final_valid,final_confirmed,reset_count,failure_reason,rejection_reasons_json,tracker_runtime_s,maximum_history_memory_bytes,maximum_history_nodes,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db,audio_synthesis_wall_runtime_s,bearing_frontend_wall_runtime_s,audio_pipeline_wall_runtime_s
all_6_equal_gcc_wls,42,42,9,25,5,8,1.5853125000000001,True,0.0,0.01499999999999968,prediction_with_measurement_corrections,True,True,0,,"{""confirmed_initialization_consensus_outlier"": 3, ""emission_outside_history"": 1, ""pre_update_nis_gate"": 4}",0.2314317000000301,116320,20,0,0,12641758821041380052,constant_velocity,-6.0,61.393973399999595,11.872582899999543,73.26691600000049
equal_weight_srp_phat,42,42,9,25,5,8,1.5853125000000001,True,0.0,0.01499999999999968,prediction_with_measurement_corrections,True,True,0,,"{""confirmed_initialization_consensus_outlier"": 3, ""emission_outside_history"": 1, ""pre_update_nis_gate"": 4}",0.29327290000037465,116320,20,0,0,12641758821041380052,constant_velocity,-6.0,61.393973399999595,11.872582899999543,73.26691600000049
all_6_equal_gcc_wls,42,42,10,30,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.22227399999974295,116320,20,1,0,15157416837968679840,constant_velocity,10.0,60.092022000000725,12.378276200000982,72.47084510000059
equal_weight_srp_phat,42,42,10,30,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.19936299999972107,116320,20,1,0,15157416837968679840,constant_velocity,10.0,60.092022000000725,12.378276200000982,72.47084510000059
all_6_equal_gcc_wls,42,42,0,0,0,0,nan,False,nan,nan,prediction_without_correction,False,False,0,tentative_initialization_unconfirmed,{},3.0632055000005494,0,0,2,0,11632203291840505919,constant_acceleration_segment,-6.0,131.83075169999938,11.921876899999916,143.75311729999885
equal_weight_srp_phat,42,42,0,0,0,0,nan,False,nan,nan,prediction_without_correction,False,False,0,tentative_initialization_unconfirmed,{},3.460095899999942,0,0,2,0,11632203291840505919,constant_acceleration_segment,-6.0,131.83075169999938,11.921876899999916,143.75311729999885
all_6_equal_gcc_wls,42,42,10,30,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.20689709999896877,116320,20,3,0,14822115595447997293,constant_acceleration_segment,10.0,128.17803749999985,12.362128199998551,140.5406297999998
equal_weight_srp_phat,42,42,10,30,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.1947554999987915,116320,20,3,0,14822115595447997293,constant_acceleration_segment,10.0,128.17803749999985,12.362128199998551,140.5406297999998
all_6_equal_gcc_wls,42,42,10,28,4,4,1.5553125,True,0.0,0.3113333333333328,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 2}",0.1721983999996155,116320,20,4,0,13560838668908170685,smooth_turn,-6.0,30.129890199999863,12.302733900000021,42.43312530000003
equal_weight_srp_phat,42,42,10,28,4,4,1.5553125,True,0.0,0.3113333333333328,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 2}",0.1615150999987236,116320,20,4,0,13560838668908170685,smooth_turn,-6.0,30.129890199999863,12.302733900000021,42.43312530000003
all_6_equal_gcc_wls,42,42,10,30,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.18350699999973585,116320,20,5,0,17588901136433106999,smooth_turn,10.0,27.998787399999856,13.10397329999978,41.103225799999564
equal_weight_srp_phat,42,42,10,30,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.1729421000000002,116320,20,5,0,17588901136433106999,smooth_turn,10.0,27.998787399999856,13.10397329999978,41.103225799999564
